Wall time,Step,Value
1717926800.3378541,2150,-23.941532135009766
1717926810.4170203,4750,-23.906166076660156
1717926824.2449145,8400,-23.74612808227539
1717926836.0157075,11500,-23.754308700561523
1717926836.8774197,11750,-23.744539260864258
1717926844.3772624,13700,-23.764068603515625
1717926851.368264,15550,-23.526973724365234
1717926852.8714743,15950,-23.536991119384766
1717926883.3617733,23750,-23.172693252563477
1717926895.032199,26850,-23.15092658996582
1717926903.219049,29000,-23.136075973510742
1717926904.665608,29350,-23.11815071105957
1717926913.6646657,31750,-22.897306442260742
1717926916.0850532,32400,-22.82449722290039
1717926928.4858012,35750,-22.859010696411133
1717926946.3796618,40450,-22.754064559936523
1717926984.472153,50750,-22.350502014160156
1717926994.1755025,53350,-22.189329147338867
1717927044.2048447,66700,-21.719402313232422
1717927044.926455,66900,-21.732925415039062
1717927053.3617713,69300,-21.627470016479492
1717927054.4934354,69650,-21.580251693725586
1717927062.0848064,71850,-21.52172088623047
1717927107.6245031,84600,-21.072824478149414
1717927115.4420638,86750,-20.953895568847656
1717927115.9504592,86900,-20.955646514892578
1717927141.4205692,93900,-20.95766258239746
1717927148.344731,95900,-20.92489242553711
1717927170.7777972,101850,-20.85440444946289
1717927182.187086,104850,-20.988210678100586
1717927202.1390197,110000,-21.293304443359375
1717927214.2824357,113150,-21.388540267944336
1717927222.7679875,115400,-21.48591423034668
1717927238.193536,119500,-21.729515075683594
1717927246.9274452,121850,-21.725200653076172
1717927255.960531,124300,-21.779682159423828
1717927256.1406846,124350,-21.77165412902832
1717927258.333663,124950,-21.708425521850586
1717927264.5593982,126650,-21.640817642211914
1717927293.4274983,134300,-21.47122573852539
1717927304.6466627,137050,-21.46784782409668
1717927360.6806085,151950,-21.244325637817383
1717927398.474737,161550,-20.994070053100586
1717927401.7443488,162350,-20.93579864501953
1717927413.2600493,165300,-20.814105987548828
1717927474.8507235,180950,-20.646923065185547
1717927475.2783604,181050,-20.639835357666016
1717927485.229816,183550,-20.626279830932617
1717927499.1637359,187100,-20.60809326171875
1717927513.6622627,190750,-20.511262893676758
1717927515.0740585,191100,-20.536325454711914
1717927538.2140682,196450,-20.283306121826172
1717927543.9789577,197850,-20.18355941772461
1717927560.4879794,201850,-20.186969757080078
1717927591.9816222,209850,-20.38751983642578
1717927616.6907592,215900,-20.512737274169922
1717927633.662988,220050,-20.702991485595703
1717927653.3847592,224650,-20.549917221069336
1717927657.19444,225500,-20.599729537963867
1717927692.4294643,233850,-20.51996612548828
1717927716.0634875,239450,-20.380910873413086
1717927755.688575,248600,-20.40302276611328
1717927781.8600209,255350,-20.818458557128906
1717927786.9649282,256750,-20.91773796081543
1717927826.1290023,267300,-21.08315086364746
1717927829.4037206,268000,-21.075258255004883
1717927867.8905008,277500,-21.032691955566406
1717927894.5150373,284000,-20.913339614868164
1717927903.3264198,286200,-20.8712158203125
1717927920.7149172,290450,-20.810392379760742
1717927932.860005,293250,-20.813676834106445
1717927934.330945,293600,-20.808576583862305
1717927942.059008,295400,-20.7128849029541
1717927961.0829887,299550,-20.588436126708984
1717928005.9172819,310050,-20.515111923217773
1717928009.8727045,311000,-20.533283233642578
1717928023.3000026,314500,-20.57796287536621
1717928080.5715322,328750,-20.387208938598633
1717928086.3518565,330200,-20.300180435180664
1717928105.0094593,335000,-20.02254295349121
1717928108.215296,335600,-20.021198272705078
1717928139.1059186,342750,-19.861480712890625
1717928163.221512,348350,-19.654010772705078
1717928203.6259844,357800,-19.630165100097656
1717928255.0952988,369150,-19.448318481445312
1717928270.276871,373050,-19.453596115112305
1717928270.802304,373200,-19.46482276916504
1717928279.8814604,375600,-19.475019454956055
1717928333.950411,389450,-19.362178802490234
1717928335.8937912,389950,-19.350162506103516
1717928342.2544482,391700,-19.32318878173828
