Wall time,Step,Value
1717926780.7767167,2150,-23.951641082763672
1717926790.1324527,4750,-23.697765350341797
1717926805.3858435,8400,-23.721187591552734
1717926818.0083666,11500,-23.633342742919922
1717926819.0232773,11750,-23.64230728149414
1717926827.1026437,13700,-23.583101272583008
1717926834.9491794,15550,-23.557294845581055
1717926836.524935,15950,-23.540714263916016
1717926870.6444695,23750,-23.384557723999023
1717926884.387244,26850,-23.383012771606445
1717926893.2102008,29000,-23.287376403808594
1717926894.6521633,29350,-23.26699447631836
1717926905.06583,31750,-23.164356231689453
1717926907.8604727,32400,-23.120079040527344
1717926922.9632967,35750,-23.016437530517578
1717926943.7262194,40450,-22.7285213470459
1717926988.9933367,50750,-22.386728286743164
1717926999.8706517,53350,-22.37252426147461
1717927057.8694134,66700,-21.97657012939453
1717927058.7440197,66900,-21.98859214782715
1717927069.4385996,69300,-21.808609008789062
1717927071.0028338,69650,-21.81725311279297
1717927080.6610124,71850,-21.771759033203125
1717927134.5053878,84600,-21.435531616210938
1717927143.6233547,86750,-21.51654052734375
1717927144.2497435,86900,-21.51826286315918
1717927173.230602,93900,-21.51789093017578
1717927181.791015,95900,-21.496265411376953
1717927207.1460044,101850,-21.51710319519043
1717927219.2892327,104850,-21.576557159423828
1717927238.848043,110000,-21.429222106933594
1717927250.539203,113150,-21.413837432861328
1717927258.821426,115400,-21.27914810180664
1717927275.057561,119500,-21.138818740844727
1717927284.2477424,121850,-21.008075714111328
1717927294.218226,124300,-20.914169311523438
1717927294.4105356,124350,-20.904191970825195
1717927296.8044357,124950,-20.882789611816406
1717927304.0123923,126650,-20.964460372924805
1717927335.9660835,134300,-21.00452423095703
1717927347.0793545,137050,-20.99860954284668
1717927407.6725485,151950,-20.675701141357422
1717927446.0407438,161550,-20.65398406982422
1717927449.1732073,162350,-20.675918579101562
1717927461.3722994,165300,-20.701297760009766
1717927527.5988264,180950,-21.09478187561035
1717927528.053343,181050,-21.08282470703125
1717927539.1691198,183550,-21.086952209472656
1717927555.132437,187100,-21.042850494384766
1717927571.565432,190750,-20.994421005249023
1717927572.9535701,191100,-20.961483001708984
1717927596.1697507,196450,-20.975101470947266
1717927602.253218,197850,-21.053014755249023
1717927619.6264722,201850,-21.001188278198242
1717927654.3889318,209850,-20.84064483642578
1717927680.8025749,215900,-20.95535659790039
1717927697.1603801,220050,-20.957372665405273
1717927716.77169,224650,-20.738353729248047
1717927720.1439188,225500,-20.737529754638672
1717927755.3823662,233850,-20.843990325927734
1717927779.821906,239450,-20.817848205566406
1717927820.6676311,248600,-20.646318435668945
1717927850.6581068,255350,-20.963106155395508
1717927856.8567502,256750,-20.98233413696289
1717927903.1392202,267300,-20.686283111572266
1717927906.0587687,268000,-20.64264678955078
1717927949.756406,277500,-20.642728805541992
1717927980.6730206,284000,-20.724363327026367
1717927991.0180268,286200,-20.77591323852539
1717928009.2228584,290450,-20.863082885742188
1717928021.8081555,293250,-21.01068115234375
1717928023.2339687,293600,-20.963823318481445
1717928031.309206,295400,-20.920927047729492
1717928050.7546933,299550,-20.971858978271484
1717928095.5788705,310050,-20.952953338623047
1717928099.6772277,311000,-20.976295471191406
1717928114.7618754,314500,-20.93455696105957
1717928174.7221923,328750,-20.93913459777832
1717928181.0786867,330200,-20.904293060302734
1717928202.312967,335000,-20.779972076416016
1717928205.3155246,335600,-20.760038375854492
1717928244.2992327,342750,-20.662614822387695
1717928271.104585,348350,-20.476694107055664
1717928310.8962202,357800,-20.388866424560547
1717928359.626272,369150,-20.467729568481445
1717928375.3046522,373050,-20.4427547454834
1717928375.861556,373200,-20.429473876953125
1717928385.5221732,375600,-20.35695457458496
1717928446.401301,389450,-20.26207733154297
1717928448.6481352,389950,-20.23136329650879
1717928456.4547286,391700,-20.225099563598633
1717928489.88005,399600,-20.169902801513672
1717928505.2451038,403350,-20.097766876220703
1717928529.4738286,409050,-20.039119720458984
1717928537.9192007,411100,-19.948711395263672
1717928567.0175624,418200,-19.9322452545166
1717928569.9305859,418900,-19.947546005249023
1717928595.7534208,424950,-19.993030548095703
1717928597.818975,425450,-20.013669967651367
1717928617.9145482,430100,-19.89096450805664
1717928677.6714962,443950,-20.160356521606445
1717928687.8923004,446450,-20.224008560180664
1717928689.575393,446800,-20.231483459472656
1717928701.8637755,449700,-20.3200740814209
1717928755.4093423,463050,-20.30037498474121
1717928799.2172298,473450,-20.315471649169922
1717928816.9428823,477750,-20.463088989257812
1717928819.7085953,478400,-20.533498764038086
1717928846.3938022,484950,-20.68198013305664
1717928877.3910553,492200,-20.76877784729004
1717928890.2777207,495400,-20.73699188232422
1717928964.2726922,513850,-20.75096893310547
1717928965.6553369,514200,-20.76580238342285
1717928988.9348736,520000,-20.754920959472656
1717929006.2586107,524000,-20.62762451171875
1717929015.2355278,526150,-20.592178344726562
1717929032.4251795,530400,-20.438615798950195
1717929063.2651713,537900,-20.37134552001953
1717929067.9743388,539050,-20.415285110473633
1717929093.9705658,545150,-20.5083065032959
1717929094.56321,545300,-20.52950096130371
1717929107.0564015,548350,-20.53412437438965
1717929108.849401,548750,-20.585166931152344
1717929118.174388,551050,-20.539569854736328
1717929135.5234578,555150,-20.405433654785156
1717929202.125327,571000,-20.472715377807617
1717929214.2717,573650,-20.50267791748047
1717929227.124513,576650,-20.58685874938965
1717929234.313343,578350,-20.51358413696289
1717929257.9317806,584300,-20.624717712402344
1717929273.4698584,588000,-20.730228424072266
1717929318.1348624,598500,-20.844118118286133
1717929319.1707256,598750,-20.845687866210938
1717929359.9385428,608250,-20.790931701660156
1717929387.421541,614550,-20.65521812438965
1717929470.1880589,633600,-21.189041137695312
1717929514.849279,643900,-20.923118591308594
1717929529.3550801,647000,-20.891193389892578
1717929550.317322,651750,-20.87873649597168
1717929556.0712745,653100,-20.859636306762695
1717929566.3578012,655500,-20.785429000854492
1717929629.1558497,670150,-20.910043716430664
1717929661.3288713,677350,-21.026803970336914
1717929672.9973848,679900,-20.990806579589844
1717929678.1246212,681050,-20.97176170349121
1717929720.1308298,690550,-20.95040512084961
1717929736.3954334,694250,-20.920921325683594
1717929779.5232987,704050,-20.923917770385742
1717929810.1473188,711100,-20.962766647338867
1717929826.45579,714750,-20.965259552001953
1717929835.8066459,716950,-20.938400268554688
1717929859.39084,722400,-20.862321853637695
1717929901.8879724,731950,-20.75288963317871
1717929908.8310819,733450,-20.777210235595703
1717929913.1741626,734400,-20.775617599487305
1717929934.1566372,739000,-20.745685577392578
1717929941.0041928,740500,-20.70903205871582
1717929956.2267375,743700,-20.833263397216797
1717929960.6411626,744650,-20.774877548217773
1717930055.7797074,766250,-20.91387367248535
1717930089.1044106,773700,-20.945579528808594
1717930089.5749404,773800,-20.956878662109375
1717930096.7311687,775400,-21.032791137695312
1717930147.1822019,787050,-21.036304473876953
1717930152.5612578,788250,-20.982486724853516
1717930232.4929194,805850,-20.670467376708984
1717930260.6491003,812500,-20.73723030090332
1717930276.1576068,816100,-20.775699615478516
1717930359.4641652,834900,-20.908958435058594
1717930384.1305683,840500,-21.14496612548828
1717930394.7604787,842900,-21.038440704345703
