Wall time,Step,Value
1718009716.9510646,5436,-32.467010498046875
1718009720.092364,5809,-31.460399627685547
1718009748.9333847,9037,-31.936548233032227
1718009774.4676423,11902,-31.247713088989258
1718009845.5308425,19850,-31.65597915649414
1718009855.204268,20967,-29.93578338623047
1718009922.8015578,28704,-30.03564453125
1718009927.8688707,29331,-31.069820404052734
1718009949.5479274,31954,-30.480411529541016
1718009968.4462934,34190,-30.79721450805664
1718010005.7172453,38539,-31.605764389038086
1718010008.0142498,38787,-31.720962524414062
1718010017.3360655,39786,-29.89008140563965
1718010130.0273015,52609,-32.658424377441406
1718010173.443641,57455,-31.072904586791992
1718010188.711313,59195,-31.319564819335938
1718010256.8772116,66885,-31.026493072509766
1718010305.9770575,72234,-31.52215576171875
1718010313.6803489,73105,-29.641366958618164
1718010367.4388537,79078,-30.451290130615234
1718010381.6604002,80690,-29.46963119506836
1718010410.0277927,83671,-29.852510452270508
1718010458.2718906,89003,-31.069700241088867
1718010466.05267,89991,-32.056304931640625
1718010516.5884943,96086,-31.13748550415039
1718010530.9874065,97822,-32.129432678222656
1718010547.6839979,99936,-30.450849533081055
1718010553.6550388,100685,-31.840919494628906
1718010581.445977,104163,-32.980247497558594
1718010690.9836466,117734,-31.59747314453125
1718010719.2513454,120966,-30.144445419311523
1718010762.4857323,126336,-32.45396423339844
1718010813.9743812,132792,-30.063858032226562
1718010856.2815337,137508,-31.309751510620117
1718010940.5961742,146962,-30.453102111816406
1718011028.8170135,157047,-32.3677978515625
1718011085.552047,163897,-29.355682373046875
1718011088.7091548,164268,-30.799774169921875
1718011104.5085714,166006,-31.424076080322266
1718011108.7409306,166506,-31.936399459838867
1718011160.5530524,172480,-30.67438316345215
1718011167.6918876,173350,-30.489654541015625
1718011211.3612344,178835,-31.44717788696289
1718011240.6627538,182546,-30.875797271728516
1718011300.9963188,189638,-29.863582611083984
1718011331.6903362,193265,-30.596651077270508
1718011348.3457592,195256,-30.918109893798828
1718011365.1044688,197247,-31.771039962768555
1718011423.7932856,204221,-29.34871482849121
1718011475.886134,210557,-30.197587966918945
1718011494.707117,212794,-31.88533592224121
1718011503.6859717,213914,-32.151065826416016
1718011521.1888533,215900,-30.261009216308594
1718011524.200543,216274,-31.36871337890625
