Wall time,Step,Value
1718039621.659866,6166,-34.75202560424805
1718039624.524431,6565,-37.32362747192383
1718039648.805918,10025,-33.359432220458984
1718039670.125622,13092,-33.96989440917969
1718039728.855648,21610,-33.067928314208984
1718039737.11813,22803,-34.671142578125
1718039797.499616,31046,-32.63981246948242
1718039802.266935,31711,-33.35293197631836
1718039824.4774961,34500,-32.98915481567383
1718039841.440943,36897,-34.7556266784668
1718039875.080742,41540,-32.10200119018555
1718039877.43572,41808,-33.43958282470703
1718039885.301682,42870,-33.640689849853516
1718039983.627498,56542,-33.225990295410156
1718040019.3277109,61716,-33.16070556640625
1718040032.095244,63576,-32.88692092895508
1718040089.092752,71803,-34.10482406616211
1718040131.799196,77514,-33.073307037353516
1718040138.4585102,78443,-34.26022720336914
1718040186.149645,84833,-33.458839416503906
1718040198.622188,86564,-30.942611694335938
1718040221.296479,89757,-33.589149475097656
1718040260.956518,95462,-32.76165771484375
1718040268.631913,96525,-33.6512336730957
1718040317.860637,103033,-31.342317581176758
1718040330.637665,104883,-33.490726470947266
1718040347.200398,107152,-30.575382232666016
1718040353.0071838,107943,-32.044029235839844
1718040379.541151,111659,-33.71520233154297
1718040478.508915,126161,-34.0467414855957
1718040502.2404459,129613,-32.13294982910156
1718040543.630687,135337,-30.435829162597656
1718040594.473283,142263,-32.65365219116211
1718040630.692411,147311,-32.475555419921875
1718040704.558198,157412,-32.527130126953125
1718040779.507956,168186,-31.928821563720703
1718040830.632183,175504,-32.15176773071289
1718040833.436595,175902,-31.560380935668945
1718040846.3144221,177760,-32.6375732421875
1718040849.9765508,178293,-30.752222061157227
1718040895.0218601,184685,-31.896305084228516
1718040901.929995,185614,-32.178199768066406
1718040945.055424,191462,-32.742801666259766
1718040973.963616,195447,-31.876819610595703
1718041029.599772,203032,-31.310380935668945
1718041057.5603871,206891,-30.84990119934082
1718041072.3311732,209014,-31.306318283081055
1718041087.202568,211141,-32.07396697998047
1718041138.989058,218579,-31.7965145111084
1718041186.064019,225363,-31.940622329711914
1718041202.691315,227760,-31.88134002685547
1718041211.016472,228952,-31.325349807739258
1718041226.00372,231076,-30.868196487426758
1718041228.749313,231475,-33.25294876098633
1718041269.418735,237323,-31.892549514770508
1718041327.854591,245687,-33.451438903808594
1718041348.9674351,248607,-30.461977005004883
1718041351.8598819,249004,-31.34804916381836
1718041359.6802151,250067,-32.90693664550781
1718041398.005331,255376,-31.067358016967773
1718041414.963969,257639,-32.90255355834961
1718041428.398496,259366,-33.23398971557617
1718041514.658547,271196,-31.998775482177734
1718041569.509846,279154,-32.95808410644531
1718041653.602807,291241,-32.58430099487305
1718041664.75552,292835,-32.72368621826172
1718041695.0505311,297083,-33.85001754760742
1718041700.8628008,297888,-31.32860565185547
1718041720.3803232,300539,-30.30837631225586
1718041725.189002,301199,-31.297279357910156
1718041767.822433,307193,-33.28714370727539
1718041778.8839219,308785,-31.06657600402832
1718041811.952491,313433,-31.596271514892578
1718041844.097982,318093,-31.40625762939453
1718041845.001622,318225,-30.847618103027344
1718041887.686296,324322,-32.651126861572266
1718041903.3935978,326582,-30.420278549194336
1718041905.199657,326844,-33.90209197998047
1718041910.007781,327514,-31.625341415405273
1718041932.949524,330846,-31.731584548950195
1718041933.8654258,330980,-33.19122314453125
1718041944.8717818,332578,-32.506465911865234
1718041949.532587,333247,-32.77088928222656
1718041976.204457,337117,-31.54511070251465
1718041990.026689,339110,-30.76779556274414
1718041995.528063,339905,-32.42170715332031
1718042118.0135128,357435,-32.64912414550781
1718042171.3457081,364737,-31.033273696899414
1718042217.126385,371258,-32.32916259765625
1718042314.941834,385491,-31.676544189453125
1718042379.963943,394928,-30.774253845214844
1718042444.965905,404368,-33.12310028076172
1718042447.7097049,404767,-29.474279403686523
1718042500.709674,412479,-32.30696105957031
1718042557.59077,420725,-32.68424987792969
1718042621.632422,429892,-31.703392028808594
1718042636.638798,431747,-30.307157516479492
1718042638.666664,432015,-32.34686279296875
1718042639.738224,432150,-31.270980834960938
1718042701.323672,439846,-33.633544921875
1718042909.833049,463127,-31.200233459472656
1718043040.5593731,479059,-32.08137512207031
1718043060.166015,481451,-32.027706146240234
1718043062.325164,481715,-32.8912239074707
1718043117.027882,488347,-33.24431610107422
1718043178.8528929,495786,-30.758886337280273
1718043195.32648,497782,-32.2340087890625
1718043251.994096,504685,-31.508583068847656
1718043274.922126,507488,-31.36104965209961
1718043282.637557,508423,-32.34048843383789
1718043398.139364,522650,-32.59187698364258
1718043428.389816,526367,-33.41775894165039
1718043459.724206,530096,-32.32057571411133
1718043516.43748,536997,-32.331539154052734
1718043583.47278,545243,-32.33051681518555
1718043690.290663,558265,-29.9023494720459
1718043723.767806,562403,-32.40884017944336
1718043729.140807,563067,-32.502357482910156
1718043807.521882,572637,-30.635963439941406
1718043821.773163,574360,-31.42420196533203
1718043824.1011379,574625,-31.50344467163086
1718043912.5507798,585378,-33.322296142578125
1718044011.0706549,597605,-32.41857147216797
1718044029.258465,599868,-31.337665557861328
1718044050.667661,602660,-31.096342086791992
1718044155.400811,615698,-29.345609664916992
1718044197.652291,620469,-32.45054626464844
1718044202.3587599,621003,-32.55893325805664
1718044212.043741,622063,-33.33211898803711
1718044281.729383,631897,-29.81558609008789
1718044320.143842,636959,-30.539852142333984
1718044333.320211,638812,-31.621417999267578
1718044369.1961222,643865,-30.737030029296875
1718044381.102893,645462,-31.10268211364746
1718044421.071533,651034,-31.22663116455078
1718044483.736984,660091,-33.320430755615234
1718044491.934943,661287,-31.80718231201172
1718044494.865129,661695,-32.52749252319336
1718044565.0423172,671784,-31.094329833984375
1718044566.959842,672053,-33.25969314575195
1718044616.878071,679227,-31.619083404541016
1718044643.353431,682955,-31.991825103759766
1718044746.203477,696939,-32.14341354370117
1718044839.265653,708898,-32.652992248535156
1718044854.654469,711023,-31.855390548706055
1718044868.2288299,712880,-32.154869079589844
1718044927.416312,720988,-32.02690124511719
1718045025.940078,733897,-32.380191802978516
1718045058.062895,738151,-28.485454559326172
1718045174.527719,753428,-30.005104064941406
1718045189.7552052,755428,-30.602619171142578
1718045233.868512,761280,-31.165603637695312
1718045323.3713999,772579,-32.071353912353516
1718045339.584029,774838,-32.30157470703125
1718045342.504805,775238,-32.71209716796875
1718045376.354748,780042,-30.91861343383789
1718045382.971863,780977,-32.462921142578125
1718045416.095715,785748,-31.429689407348633
1718045435.572897,788535,-31.472204208374023
1718045492.0985541,796779,-31.78473663330078
1718045510.177789,799428,-34.576988220214844
1718045612.164513,814168,-32.76781463623047
1718045621.424211,815492,-31.420602798461914
1718045688.219703,824655,-34.33256149291992
1718045700.099545,826385,-32.13960647583008
1718045705.5782652,827177,-31.06855583190918
1718045717.437732,828899,-32.18837356567383
1718045769.9206479,836474,-31.65081214904785
1718045790.866045,839532,-31.15625762939453
1718045795.404814,840195,-31.636051177978516
1718045850.079443,848038,-30.7851505279541
1718045871.9540968,851235,-32.972084045410156
1718045961.185879,864002,-30.63227653503418
1718045983.647578,867192,-32.6514892578125
1718046033.826768,874377,-30.811019897460938
1718046060.4826891,878241,-30.41500473022461
1718046109.5175092,885420,-31.788959503173828
1718046144.920471,890597,-32.43505859375
1718046147.603898,890989,-31.431550979614258
1718046158.461279,892584,-32.10212707519531
1718046186.715664,896699,-32.76337814331055
1718046282.376659,910523,-31.38485336303711
1718046289.778341,911590,-34.241458892822266
1718046303.4924989,913569,-32.1534538269043
1718046391.1689038,926461,-30.917081832885742
1718046414.6052501,929921,-32.829322814941406
1718046434.3799949,932835,-31.789810180664062
1718046517.823308,945062,-31.246753692626953
1718046525.091417,946127,-31.57440948486328
1718046567.057709,951580,-33.41484069824219
1718046654.2981918,963802,-33.070220947265625
1718046714.3083022,972319,-32.9459228515625
1718046740.842721,976038,-33.14940643310547
1718046741.7696059,976169,-31.803611755371094
1718046759.714636,978698,-30.972524642944336
1718046781.239767,981769,-31.046899795532227
1718046798.999563,984303,-31.27324867248535
1718046845.4526541,990813,-33.104148864746094
1718046854.81917,992143,-31.19587516784668
1718046857.6121988,992538,-31.0560359954834
1718046871.985909,994526,-31.0865421295166
1718046903.2362409,998906,-31.648696899414062
1718047070.509815,1022343,-33.73759841918945
1718047076.170741,1023138,-30.72803497314453
1718047139.846197,1032026,-32.24667739868164
1718047166.578068,1035749,-31.777416229248047
1718047175.9891589,1037076,-32.76576614379883
1718047209.279265,1041739,-29.422039031982422
1718047274.0226161,1050650,-31.09046173095703
1718047304.372797,1054892,-29.863391876220703
1718047359.765405,1062731,-31.433942794799805
1718047392.714725,1067386,-31.714162826538086
1718047431.0670772,1072711,-31.192642211914062
1718047540.681949,1087883,-32.190921783447266
1718047573.787445,1092541,-31.8626708984375
1718047579.471752,1093341,-32.23577880859375
1718047645.0794299,1102509,-31.208850860595703
1718047687.569102,1108353,-32.74514389038086
1718047715.410114,1112197,-32.28631591796875
1718047720.1867352,1112860,-33.17243957519531
1718047728.827395,1114053,-30.87569236755371
1718047814.288563,1126016,-33.43360900878906
1718047817.119264,1126415,-33.07572937011719
1718047843.934422,1130144,-31.541086196899414
1718047853.5522292,1131476,-30.09090232849121
