Wall time,Step,Value
1717926737.0273116,20480,-23.83443832397461
1717926784.6458783,40960,-23.7584285736084
1717926855.5287108,61440,-23.542268753051758
1717926925.8748338,81920,-23.477121353149414
1717926995.489763,102400,-23.260774612426758
1717927065.990148,122880,-23.094131469726562
1717927135.6555083,143360,-22.987510681152344
1717927206.3735168,163840,-22.874849319458008
1717927276.4268634,184320,-22.74124526977539
1717927347.1479058,204800,-22.56112289428711
1717927417.9565783,225280,-22.481369018554688
1717927490.0230045,245760,-22.353740692138672
1717927562.4276102,266240,-22.21615982055664
1717927634.611265,286720,-22.088685989379883
1717927708.2852542,307200,-21.923664093017578
1717927786.043975,327680,-21.802978515625
1717927860.1652987,348160,-21.68289566040039
1717927932.4799666,368640,-21.67424964904785
1717928005.664235,389120,-21.599380493164062
1717928079.4407165,409600,-21.53081703186035
1717928152.770626,430080,-21.393037796020508
1717928229.7576628,450560,-21.238283157348633
1717928310.6631749,471040,-21.18796157836914
1717928382.5748963,491520,-21.113367080688477
1717928453.9385428,512000,-20.999290466308594
1717928525.6605911,532480,-20.92797088623047
1717928597.5962188,552960,-20.751131057739258
1717928669.4847398,573440,-20.62650489807129
1717928741.9913802,593920,-20.491621017456055
1717928815.3070464,614400,-20.342676162719727
1717928886.2043514,634880,-20.243526458740234
1717928958.0183659,655360,-20.121431350708008
1717929028.795326,675840,-20.003631591796875
1717929102.0560896,696320,-19.847183227539062
1717929173.3425848,716800,-19.636014938354492
1717929244.1660335,737280,-19.579933166503906
1717929315.059565,757760,-19.519412994384766
1717929386.0508163,778240,-19.474010467529297
1717929456.2982943,798720,-19.3675479888916
1717929529.1127145,819200,-19.26628875732422
1717929601.7666583,839680,-19.207881927490234
1717929672.8154805,860160,-19.11505126953125
1717929743.8997703,880640,-18.994972229003906
1717929814.4951773,901120,-18.885522842407227
1717929886.2498183,921600,-18.7512264251709
1717929958.3053796,942080,-18.586997985839844
1717930030.203928,962560,-18.42969512939453
1717930102.633551,983040,-18.242116928100586
1717930174.0667753,1003520,-18.156543731689453
1717930246.2085774,1024000,-18.02800178527832
1717930318.7121935,1044480,-17.889801025390625
1717930390.5406697,1064960,-17.876678466796875
1717930462.7941673,1085440,-17.759563446044922
1717930534.808817,1105920,-17.639894485473633
1717930606.1793957,1126400,-17.502378463745117
1717930678.057002,1146880,-17.389528274536133
1717930749.336455,1167360,-17.26177215576172
1717930821.8089433,1187840,-17.108943939208984
1717930893.7203054,1208320,-16.9986629486084
1717930966.033408,1228800,-16.976411819458008
1717931037.639708,1249280,-16.900287628173828
1717931110.4521549,1269760,-16.80538558959961
1717931181.9262598,1290240,-16.749103546142578
1717931252.9753366,1310720,-16.662261962890625
1717931323.3640373,1331200,-16.577829360961914
1717931396.1247523,1351680,-16.5294246673584
1717931467.2103992,1372160,-16.439931869506836
1717931538.7934437,1392640,-16.281002044677734
1717931610.1549256,1413120,-16.2299861907959
1717931682.7527556,1433600,-16.149656295776367
1717931754.165834,1454080,-16.094749450683594
1717931825.2170763,1474560,-16.013790130615234
1717931896.5083783,1495040,-15.943352699279785
1717931967.529416,1515520,-15.82607650756836
1717932038.246176,1536000,-15.722114562988281
1717932108.5984743,1556480,-15.542014122009277
1717932179.2820137,1576960,-15.42031478881836
1717932250.7579503,1597440,-15.304693222045898
1717932321.7923758,1617920,-15.180500984191895
1717932392.1879535,1638400,-15.050993919372559
1717932463.2565293,1658880,-14.943656921386719
1717932535.0038629,1679360,-14.806190490722656
1717932605.587371,1699840,-14.72032356262207
1717932676.151009,1720320,-14.662497520446777
1717932745.8386252,1740800,-14.582025527954102
1717932815.2794852,1761280,-14.503915786743164
1717932885.625124,1781760,-14.356521606445312
1717932955.2281525,1802240,-14.192427635192871
1717933025.0930977,1822720,-14.109549522399902
1717933095.1968853,1843200,-14.005958557128906
1717933168.3591423,1863680,-13.924591064453125
1717933240.032316,1884160,-13.824400901794434
1717933311.1218278,1904640,-13.812848091125488
1717933381.585342,1925120,-13.722041130065918
1717933452.8836958,1945600,-13.653812408447266
1717933523.2523973,1966080,-13.650874137878418
1717933593.7452807,1986560,-13.54648494720459
1717933663.5636714,2007040,-13.4610013961792
1717933733.1205263,2027520,-13.343719482421875
1717933803.6306734,2048000,-13.200242042541504
1717933874.3066015,2068480,-13.074324607849121
1717933944.7094803,2088960,-12.98891830444336
1717934016.4284043,2109440,-12.891338348388672
1717934089.1733887,2129920,-12.805925369262695
1717934160.528853,2150400,-12.660429954528809
1717934231.100407,2170880,-12.566631317138672
1717934301.1944702,2191360,-12.479104995727539
1717934371.9234116,2211840,-12.32921028137207
1717934442.606588,2232320,-12.281644821166992
1717934512.9598503,2252800,-12.189265251159668
1717934583.475034,2273280,-12.091070175170898
1717934654.5844057,2293760,-11.972405433654785
1717934725.1763177,2314240,-11.961322784423828
1717934796.7533221,2334720,-11.933375358581543
1717934867.5756402,2355200,-11.798347473144531
1717934939.5089195,2375680,-11.713433265686035
1717935011.613959,2396160,-11.67506217956543
1717935082.0519576,2416640,-11.57009506225586
1717935152.7557878,2437120,-11.49802303314209
1717935223.1684337,2457600,-11.37324047088623
1717935292.8033593,2478080,-11.319592475891113
1717935362.77153,2498560,-11.213885307312012
1717935432.7725754,2519040,-11.075895309448242
1717935504.2387252,2539520,-10.961522102355957
1717935574.711931,2560000,-10.847214698791504
1717935645.9743054,2580480,-10.753296852111816
1717935717.4651053,2600960,-10.6796293258667
1717935788.71284,2621440,-10.637228012084961
1717935860.5520978,2641920,-10.641947746276855
1717935932.780923,2662400,-10.549360275268555
1717936003.6821787,2682880,-10.5011625289917
1717936075.2966588,2703360,-10.464872360229492
1717936147.153707,2723840,-10.41926383972168
1717936218.0078394,2744320,-10.381884574890137
1717936289.2226994,2764800,-10.313727378845215
1717936360.8364446,2785280,-10.269827842712402
1717936431.470125,2805760,-10.25456428527832
1717936502.158828,2826240,-10.123931884765625
1717936572.5954452,2846720,-10.018214225769043
1717936643.8153782,2867200,-9.959282875061035
1717936715.0012105,2887680,-9.87741470336914
1717936787.8139436,2908160,-9.807513236999512
1717936860.0961304,2928640,-9.734180450439453
1717936930.8873787,2949120,-9.71295166015625
1717937001.873586,2969600,-9.683039665222168
1717937072.5004933,2990080,-9.685483932495117
1717937142.7024734,3010560,-9.64035701751709
1717937213.77247,3031040,-9.642557144165039
1717937285.1847076,3051520,-9.6506986618042
1717937355.4205148,3072000,-9.617850303649902
1717937426.1219118,3092480,-9.54388427734375
1717937496.691516,3112960,-9.452869415283203
1717937567.477413,3133440,-9.340373992919922
1717937637.6121187,3153920,-9.231646537780762
1717937707.978239,3174400,-9.189672470092773
1717937780.1362288,3194880,-9.123777389526367
1717937853.3165023,3215360,-9.038314819335938
1717937924.2330399,3235840,-9.01230525970459
1717937995.6416035,3256320,-8.912205696105957
1717938065.408155,3276800,-8.824261665344238
1717938135.6143665,3297280,-8.74343490600586
1717938206.7729175,3317760,-8.7384033203125
1717938277.7966533,3338240,-8.663345336914062
1717938349.0050678,3358720,-8.655346870422363
1717938419.7116036,3379200,-8.614843368530273
1717938490.64967,3399680,-8.562395095825195
1717938563.2674692,3420160,-8.500271797180176
1717938634.430575,3440640,-8.520751953125
1717938706.1657984,3461120,-8.466741561889648
1717938778.1852462,3481600,-8.367090225219727
1717938849.583477,3502080,-8.276310920715332
1717938921.7116005,3522560,-8.175265312194824
1717938992.9237988,3543040,-8.225690841674805
1717939064.4912977,3563520,-8.165826797485352
1717939135.5132902,3584000,-8.127835273742676
1717939206.647242,3604480,-8.063849449157715
1717939279.5661964,3624960,-7.993853569030762
1717939351.6592517,3645440,-7.944581985473633
1717939424.064537,3665920,-7.878925800323486
1717939496.3895981,3686400,-7.7953948974609375
1717939566.5395842,3706880,-7.76452112197876
1717939637.3207433,3727360,-7.665058135986328
1717939707.9315822,3747840,-7.573519706726074
1717939779.2361622,3768320,-7.499362468719482
1717939850.3285239,3788800,-7.3381428718566895
1717939921.4187202,3809280,-7.339510917663574
1717939992.1568942,3829760,-7.201777935028076
1717940063.3144395,3850240,-7.173875331878662
1717940133.4645576,3870720,-7.144430160522461
1717940204.544001,3891200,-7.116234302520752
1717940275.3210483,3911680,-7.048194408416748
1717940349.2684124,3932160,-7.049289703369141
1717940420.9004564,3952640,-6.971500396728516
1717940491.0808728,3973120,-6.914281368255615
1717940560.98119,3993600,-6.89259147644043
1717940632.0087507,4014080,-6.809039115905762
1717940702.7105758,4034560,-6.8287787437438965
1717940773.9756474,4055040,-6.760622978210449
1717940846.852715,4075520,-6.747509479522705
1717940918.3360996,4096000,-6.711028099060059
1717940990.0583181,4116480,-6.6687421798706055
1717941060.3616192,4136960,-6.655544281005859
1717941131.827908,4157440,-6.533871173858643
1717941202.3643212,4177920,-6.448856830596924
1717941273.6384478,4198400,-6.427159309387207
1717941345.133745,4218880,-6.383518695831299
1717941416.4443688,4239360,-6.305441856384277
1717941487.1469674,4259840,-6.3230438232421875
1717941557.7747474,4280320,-6.276366233825684
1717941628.607452,4300800,-6.242349147796631
1717941698.2780347,4321280,-6.15141487121582
1717941771.4522665,4341760,-6.137552261352539
1717941841.4595265,4362240,-6.075540065765381
1717941912.4819643,4382720,-6.027884483337402
1717941982.6288238,4403200,-6.055873394012451
1717942054.1809688,4423680,-6.00695276260376
1717942124.5901399,4444160,-5.987246036529541
1717942195.6536593,4464640,-5.892158031463623
1717942266.5421958,4485120,-5.810155391693115
1717942337.6528606,4505600,-5.802912712097168
1717942407.528121,4526080,-5.716423988342285
1717942476.7561524,4546560,-5.7734761238098145
1717942547.9445584,4567040,-5.700857162475586
1717942618.8541737,4587520,-5.707831382751465
1717942690.3672853,4608000,-5.682608604431152
1717942760.384688,4628480,-5.598392009735107
1717942830.9489331,4648960,-5.468400955200195
1717942901.9319668,4669440,-5.4137396812438965
1717942971.9869568,4689920,-5.3886518478393555
1717943042.1254437,4710400,-5.255504131317139
1717943112.3619432,4730880,-5.221892356872559
1717943183.7335315,4751360,-5.1591315269470215
1717943255.773206,4771840,-5.0065741539001465
1717943328.4777462,4792320,-4.936740875244141
1717943400.8140216,4812800,-4.954998016357422
1717943471.5308096,4833280,-4.930417060852051
1717943541.9964619,4853760,-4.90691614151001
1717943612.5656202,4874240,-4.842648506164551
1717943683.3577452,4894720,-4.779943466186523
1717943753.0292544,4915200,-4.7404913902282715
1717943824.3461092,4935680,-4.686851501464844
1717943894.668886,4956160,-4.662478923797607
1717943967.58805,4976640,-4.697193622589111
1717944039.3215303,4997120,-4.666003704071045
