Wall time,Step,Value
1717926702.2278469,20480,-23.75664520263672
1717926750.6941469,40960,-23.637353897094727
1717926812.8529727,61440,-23.482772827148438
1717926884.3200874,81920,-23.423776626586914
1717926955.5953367,102400,-23.389604568481445
1717927027.2553828,122880,-23.352216720581055
1717927099.9424193,143360,-23.331384658813477
1717927171.155817,163840,-23.267671585083008
1717927242.710203,184320,-23.20525550842285
1717927313.9494205,204800,-23.109464645385742
1717927387.233035,225280,-23.05729866027832
1717927459.7003963,245760,-23.00200843811035
1717927532.9291558,266240,-22.95403480529785
1717927605.8295505,286720,-22.926877975463867
1717927678.249963,307200,-22.904949188232422
1717927752.8276584,327680,-22.870162963867188
1717927828.6101038,348160,-22.812089920043945
1717927901.9391513,368640,-22.798540115356445
1717927976.341567,389120,-22.767818450927734
1717928049.6731677,409600,-22.697038650512695
1717928123.0794876,430080,-22.622879028320312
1717928196.5214093,450560,-22.596786499023438
1717928278.1005626,471040,-22.565053939819336
1717928351.9443693,491520,-22.524019241333008
1717928424.8804233,512000,-22.49489974975586
1717928497.3945987,532480,-22.395889282226562
1717928569.8822582,552960,-22.39389991760254
1717928642.3051887,573440,-22.337995529174805
1717928715.4740515,593920,-22.24794578552246
1717928788.2208338,614400,-22.205142974853516
1717928860.552982,634880,-22.135334014892578
1717928933.0231528,655360,-22.129779815673828
1717929005.7634017,675840,-22.077850341796875
1717929078.6800663,696320,-21.9976863861084
1717929152.0560064,716800,-21.95008659362793
1717929223.380226,737280,-21.926105499267578
1717929294.6990914,757760,-21.85743522644043
1717929365.8761954,778240,-21.788206100463867
1717929437.979669,798720,-21.75680923461914
1717929511.2438583,819200,-21.75636100769043
1717929585.0353405,839680,-21.713964462280273
1717929656.8636887,860160,-21.571958541870117
1717929728.6464267,880640,-21.51199722290039
1717929800.1440504,901120,-21.512807846069336
1717929872.341245,921600,-21.471885681152344
1717929944.748757,942080,-21.474571228027344
1717930017.9016423,962560,-21.403488159179688
1717930091.1024885,983040,-21.425365447998047
1717930164.2167172,1003520,-21.371044158935547
1717930237.3568163,1024000,-21.302350997924805
1717930309.5357206,1044480,-21.2786808013916
1717930381.683774,1064960,-21.233020782470703
1717930455.2226934,1085440,-21.183223724365234
1717930527.5196412,1105920,-21.168651580810547
1717930598.9691527,1126400,-21.14765739440918
1717930670.8177092,1146880,-21.06060028076172
1717930742.3129277,1167360,-20.987354278564453
1717930815.004731,1187840,-20.919790267944336
1717930887.14228,1208320,-20.915353775024414
1717930959.243386,1228800,-20.842037200927734
1717931030.6257014,1249280,-20.828388214111328
1717931103.1173916,1269760,-20.776813507080078
