Wall time,Step,Value
1717926210.3004096,219,21.899999618530273
1717926212.5150688,435,21.75
1717926215.4542491,683,22.766666412353516
1717926218.3567317,902,22.549999237060547
1717926220.9546106,1108,22.15999984741211
1717926222.998772,1306,21.766666412353516
1717926225.4911523,1510,21.571428298950195
1717926228.4978719,1737,21.712499618530273
1717926231.5819023,1995,22.16666603088379
1717926238.8569608,2515,25.149999618530273
1717926248.036413,3118,28.989999771118164
1717926255.3149354,3654,32.189998626708984
1717926265.4992878,4300,36.16999816894531
1717926275.693355,4996,40.939998626708984
1717926284.6749508,5636,45.279998779296875
1717926293.9267988,6228,49.220001220703125
1717926301.9311583,6784,52.7400016784668
1717926310.6599922,7360,56.22999954223633
1717926321.6937597,8082,60.869998931884766
1717926331.7030823,8769,62.540000915527344
1717926341.3977633,9421,63.029998779296875
1717926351.0049329,10071,64.16999816894531
1717926363.2664728,10871,65.70999908447266
1717926374.802525,11643,66.47000122070312
1717926386.6144853,12430,67.94000244140625
1717926397.8124347,13174,69.45999908447266
1717926408.1314516,13864,70.80000305175781
1717926417.2776809,14483,71.2300033569336
1717926429.3066487,15274,71.91999816894531
1717926440.8884153,16033,72.63999938964844
1717926453.810773,16880,74.58999633789062
1717926466.4532912,17728,76.56999969482422
1717926478.1896875,18547,76.76000213623047
1717926490.5127046,19358,77.1500015258789
1717926503.197694,20236,78.05999755859375
1717926517.2986581,21205,80.30999755859375
1717926529.970133,22114,82.5
1717926542.089035,23000,85.16999816894531
1717926553.3620384,23785,85.11000061035156
1717926564.5637991,24601,85.68000030517578
1717926575.026348,25368,84.87999725341797
1717926589.0328174,26393,86.6500015258789
1717926599.8805604,27229,86.81999969482422
1717926611.6795287,28052,86.94000244140625
1717926621.4389637,28766,85.30000305175781
1717926633.05327,29591,83.86000061035156
1717926644.691449,30454,83.4000015258789
1717926657.3876293,31427,84.2699966430664
1717926670.1510983,32297,85.12000274658203
1717926680.6935894,33058,84.56999969482422
1717926692.3637152,33919,85.51000213623047
1717926704.769713,34777,83.83999633789062
1717926716.297604,35631,84.0199966430664
1717926730.396636,36631,85.79000091552734
1717926747.104058,37812,90.45999908447266
1717926759.8930078,38743,91.5199966430664
1717926774.7211838,39761,93.06999969482422
1717926787.754103,40688,92.61000061035156
1717926798.6719952,41470,91.7300033569336
1717926810.5972812,42342,92.83999633789062
1717926823.7979245,43304,93.8499984741211
1717926835.3953438,44201,94.23999786376953
1717926850.2844038,45265,96.33999633789062
1717926864.0472362,46297,96.66000366210938
1717926877.590552,47261,94.48999786376953
1717926891.4540918,48278,95.3499984741211
1717926905.3348196,49223,94.62000274658203
1717926921.7830122,50497,98.08999633789062
1717926935.5879042,51484,100.13999938964844
1717926953.2971046,52698,103.55999755859375
1717926970.4870152,53904,106.0
1717926985.0732324,55011,108.0999984741211
1717927004.7407613,56424,111.58999633789062
1717927018.7522492,57348,110.51000213623047
1717927036.8749084,58540,112.79000091552734
1717927052.2001069,59587,113.08999633789062
1717927068.545378,60730,115.06999969482422
1717927084.4980054,61859,113.62000274658203
1717927098.8504744,62885,114.01000213623047
1717927116.9856277,64127,114.29000091552734
1717927129.7750213,65022,111.18000030517578
1717927146.5324633,66205,111.94000244140625
1717927162.8196342,67381,109.56999969482422
1717927179.9089117,68563,112.1500015258789
1717927198.7846267,69946,114.05999755859375
1717927219.5659919,71459,118.72000122070312
1717927237.1859796,72681,119.51000213623047
1717927254.0269156,73818,119.58999633789062
1717927272.803336,75099,122.13999938964844
1717927294.0236459,76623,124.95999908447266
1717927310.9257174,77791,127.69000244140625
1717927328.2844758,79008,128.02999877929688
1717927345.145276,80199,128.17999267578125
1717927362.7701418,81408,128.4499969482422
1717927381.7306638,82721,127.75
1717927401.623632,84117,126.58000183105469
1717927428.597518,86010,133.2899932861328
1717927446.9685845,87311,134.92999267578125
1717927467.3844604,88732,136.3300018310547
1717927484.0775898,89913,132.89999389648438
1717927501.126082,91132,133.41000366210938
1717927517.2609637,92308,133.0
1717927535.5466871,93691,134.9199981689453
1717927556.4153383,95218,138.10000610351562
1717927580.6570678,97005,142.83999633789062
1717927606.9601495,98907,147.89999389648438
1717927632.0917225,100732,147.22000122070312
1717927660.08208,102781,154.6999969482422
1717927686.707583,104638,159.05999755859375
1717927723.5369294,107213,173.0
1717927750.965665,109168,180.36000061035156
1717927787.3837163,111771,194.6300048828125
1717927824.0798302,114393,207.02000427246094
1717927856.9482284,116686,214.67999267578125
1717927890.5963116,119046,220.41000366210938
1717927915.1921306,120822,219.14999389648438
1717927941.8309083,122745,220.1300048828125
1717927976.9973671,125233,224.52000427246094
1717928012.7545948,127807,231.69000244140625
1717928048.477193,130243,230.3000030517578
1717928088.1923723,133005,238.3699951171875
1717928150.8790479,137378,256.07000732421875
1717928207.9746134,141303,269.1000061035156
