Wall time,Step,Value
1717926210.3004572,219,108.73262023925781
1717926212.5151045,435,108.48790740966797
1717926215.4543035,683,113.53958892822266
1717926218.3567655,902,112.38863372802734
1717926220.9546432,1108,110.83121490478516
1717926222.9988103,1306,108.77605438232422
1717926225.4911883,1510,107.72860717773438
1717926228.49791,1737,108.47735595703125
1717926231.5819383,1995,111.05618286132812
1717926238.8569946,2515,128.166748046875
1717926248.0364504,3118,149.4873046875
1717926255.3149717,3654,165.13844299316406
1717926265.4993255,4300,187.1766815185547
1717926275.6933866,4996,213.60101318359375
1717926284.6749852,5636,237.58514404296875
1717926293.9268484,6228,259.561279296875
1717926301.9311955,6784,279.8636169433594
1717926310.6600235,7360,299.98980712890625
1717926321.6937947,8082,324.8339538574219
1717926331.7031145,8769,332.9666442871094
1717926341.3977962,9421,335.5221252441406
1717926351.0049644,10071,343.9337463378906
1717926363.266508,10871,350.4830322265625
1717926374.8025594,11643,352.62017822265625
1717926386.6147816,12430,358.3220520019531
1717926397.812467,13174,364.62799072265625
1717926408.131485,13864,370.6656799316406
1717926417.2777143,14483,371.73370361328125
1717926429.3066819,15274,373.30792236328125
1717926440.8884487,16033,375.48443603515625
1717926453.8108106,16880,383.0708923339844
1717926466.4533293,17728,389.8530578613281
1717926478.1897204,18547,390.6258544921875
1717926490.5127375,19358,391.32220458984375
1717926503.197737,20236,394.0860290527344
1717926517.2986941,21205,404.69781494140625
1717926529.9701662,22114,412.2485656738281
1717926542.089066,23000,424.013671875
1717926553.3620753,23785,422.2166748046875
1717926564.5638356,24601,426.1427307128906
1717926575.0263872,25368,422.1395568847656
1717926589.032949,26393,429.4208984375
1717926599.8805962,27229,431.1319885253906
1717926611.6795607,28052,434.8791198730469
1717926621.4391842,28766,430.37762451171875
1717926633.053302,29591,425.408447265625
1717926644.6914804,30454,426.5804138183594
1717926657.3876624,31427,432.12237548828125
1717926670.1511445,32297,439.7467956542969
1717926680.6936219,33058,436.2629699707031
1717926692.3637474,33919,442.8684997558594
1717926704.7697475,34777,436.3481140136719
1717926716.2976363,35631,434.0602722167969
1717926730.396666,36631,437.7289733886719
1717926747.1041381,37812,457.0147399902344
1717926759.8930402,38743,457.9571228027344
1717926774.7212198,39761,463.98968505859375
1717926787.7541366,40688,460.9102783203125
1717926798.6720288,41470,456.40606689453125
1717926810.5973158,42342,460.64410400390625
1717926823.7979586,43304,464.7029724121094
