Wall time,Step,Value
1717926210.3004756,219,-28.285221099853516
1717926212.5151215,435,-37.162174224853516
1717926215.4543245,683,-48.44585037231445
1717926218.3567822,902,-55.55168151855469
1717926220.954659,1108,-64.82028198242188
1717926222.998826,1306,-69.93403625488281
1717926225.4912066,1510,-74.70326232910156
1717926228.497926,1737,-83.96065521240234
1717926231.5819535,1995,-88.28370666503906
1717926238.8570108,2515,-103.58480834960938
1717926248.0364656,3118,-120.26118469238281
1717926255.3149877,3654,-130.92767333984375
1717926265.4993424,4300,-143.6478271484375
1717926275.6934013,4996,-147.6614990234375
1717926284.6750019,5636,-153.83120727539062
1717926293.9268706,6228,-164.56768798828125
1717926301.9312098,6784,-168.86331176757812
1717926310.660039,7360,-163.4534149169922
1717926321.6938117,8082,-153.34725952148438
1717926331.7031295,8769,-160.9967498779297
1717926341.3978117,9421,-158.76446533203125
1717926351.0049798,10071,-157.50399780273438
1717926363.2665236,10871,-150.51710510253906
1717926374.8025756,11643,-156.5210418701172
1717926386.6148005,12430,-165.04920959472656
1717926397.8124838,13174,-155.392822265625
1717926408.1314998,13864,-160.2967529296875
1717926417.2777295,14483,-152.51548767089844
1717926429.3067,15274,-150.93572998046875
1717926440.8884647,16033,-153.409912109375
1717926453.810825,16880,-147.1146240234375
1717926466.4533463,17728,-147.80043029785156
1717926478.1897352,18547,-159.61880493164062
1717926490.5127525,19358,-155.04356384277344
1717926503.1977541,20236,-147.26400756835938
1717926517.2987103,21205,-146.77001953125
1717926529.9701817,22114,-150.30369567871094
1717926542.0890808,23000,-142.9893035888672
1717926553.3620903,23785,-151.6304931640625
1717926564.563851,24601,-142.50973510742188
1717926575.0264034,25368,-149.74725341796875
1717926589.032974,26393,-148.80221557617188
1717926599.8806117,27229,-139.64984130859375
1717926611.6795752,28052,-139.64166259765625
1717926621.4392314,28766,-146.91464233398438
1717926633.0533164,29591,-145.607666015625
1717926644.6914952,30454,-143.00331115722656
1717926657.387677,31427,-140.39569091796875
1717926670.1511614,32297,-139.53396606445312
1717926680.69364,33058,-149.48316955566406
1717926692.3637617,33919,-150.25558471679688
1717926704.7697635,34777,-135.93023681640625
1717926716.2976515,35631,-145.6779022216797
1717926730.3966804,36631,-151.14173889160156
1717926747.104155,37812,-140.58848571777344
1717926759.8930552,38743,-141.61578369140625
1717926774.7212343,39761,-139.5128936767578
1717926787.7541528,40688,-143.522705078125
1717926798.6720436,41470,-145.8482208251953
1717926810.597331,42342,-141.03997802734375
1717926823.7979734,43304,-152.88819885253906
1717926835.39539,44201,-145.018798828125
1717926850.2844517,45265,-147.36386108398438
1717926864.047287,46297,-150.4796142578125
1717926877.5906055,47261,-149.39080810546875
1717926891.4541442,48278,-152.46766662597656
1717926905.3348665,49223,-147.9951934814453
1717926921.78306,50497,-158.3639678955078
1717926935.5879533,51484,-146.5251007080078
1717926953.297153,52698,-156.82339477539062
1717926970.4870882,53904,-159.3003387451172
1717926985.0734994,55011,-147.60198974609375
1717927004.7408125,56424,-149.49273681640625
1717927018.7522984,57348,-149.36273193359375
1717927036.874958,58540,-150.40789794921875
1717927052.2001536,59587,-160.381103515625
1717927068.5454268,60730,-152.88751220703125
1717927084.4980564,61859,-156.45408630371094
1717927098.850525,62885,-163.11318969726562
1717927116.985679,64127,-159.400146484375
1717927129.7750728,65022,-160.15382385253906
1717927146.5325143,66205,-164.5966033935547
1717927162.8196821,67381,-161.4715118408203
1717927179.908963,68563,-161.88548278808594
1717927198.784675,69946,-158.72073364257812
1717927219.5660455,71459,-157.60775756835938
1717927237.1860268,72681,-164.86090087890625
1717927254.026964,73818,-170.81015014648438
1717927272.8033836,75099,-161.5863037109375
1717927294.023696,76623,-165.36370849609375
1717927310.9257698,77791,-168.379150390625
1717927328.284525,79008,-175.2012481689453
1717927345.1453266,80199,-170.58132934570312
1717927362.7702124,81408,-161.7615203857422
1717927381.7307124,82721,-171.70213317871094
1717927401.6236818,84117,-169.6478271484375
1717927428.5975695,86010,-168.4225616455078
1717927446.9686284,87311,-178.19696044921875
1717927467.3845081,88732,-170.18798828125
1717927484.0779781,89913,-174.78591918945312
1717927501.12613,91132,-171.0343475341797
1717927517.2610102,92308,-171.85562133789062
1717927535.546739,93691,-171.15191650390625
1717927556.4153855,95218,-181.54461669921875
1717927580.6571162,97005,-180.50897216796875
1717927606.9602008,98907,-175.22769165039062
1717927632.0917723,100732,-185.28109741210938
1717927660.0821276,102781,-177.6021728515625
1717927686.7076306,104638,-189.76748657226562
1717927723.5369792,107213,-178.52447509765625
1717927750.9657123,109168,-175.64064025878906
1717927787.3837652,111771,-190.75958251953125
1717927824.0798795,114393,-192.64215087890625
1717927856.9482763,116686,-191.5210723876953
1717927890.596363,119046,-207.83868408203125
1717927915.1921785,120822,-197.77671813964844
1717927941.8309555,122745,-193.86697387695312
1717927976.9974132,125233,-197.16232299804688
1717928012.7546434,127807,-208.3180694580078
1717928048.4772427,130243,-195.1436767578125
1717928088.1924222,133005,-205.51695251464844
1717928150.8790991,137378,-212.26983642578125
1717928207.9747055,141303,-209.14324951171875
1717928288.6067398,146821,-221.69679260253906
1717928376.1928685,152782,-236.123779296875
1717928456.703957,158228,-230.86569213867188
1717928512.7787476,162029,-237.58633422851562
1717928570.348557,166028,-244.93936157226562
1717928662.4125693,172503,-255.33450317382812
1717928732.5829928,177358,-259.7696533203125
1717928824.904564,183580,-261.48773193359375
1717928931.5837412,191023,-276.67401123046875
1717929014.035267,196739,-281.191162109375
1717929094.7179441,202419,-288.6039123535156
1717929183.538625,208604,-269.1409606933594
1717929287.9677052,215915,-297.294677734375
1717929404.1841106,224109,-294.6442565917969
1717929509.5961626,231584,-307.0406188964844
1717929615.6304646,238988,-303.6048583984375
1717929718.6035404,246294,-326.901123046875
1717929819.5098493,253317,-326.51629638671875
1717929934.5709474,261276,-324.9385986328125
1717930050.2866132,269189,-341.6045227050781
1717930174.0594504,277676,-343.3223876953125
1717930291.0964155,285834,-356.31549072265625
1717930427.1033418,294972,-355.58148193359375
1717930556.1858811,303789,-359.0111389160156
1717930692.926105,313007,-350.0252685546875
1717930820.9882045,321724,-358.8514404296875
1717930957.4978583,331087,-365.1786193847656
1717931060.3053386,338080,-363.6871643066406
1717931189.0477262,346765,-377.5135803222656
1717931323.5313203,355831,-360.0970764160156
1717931456.4865432,364785,-378.76947021484375
1717931587.6174545,373672,-391.03033447265625
1717931716.453357,382256,-392.9109802246094
1717931865.0566573,392256,-388.6313781738281
1717931985.1624568,400519,-391.84954833984375
1717932128.1995795,410203,-403.05926513671875
1717932256.9811592,418665,-415.36492919921875
1717932416.9495485,428500,-398.0597229003906
1717932554.5436213,436570,-395.56854248046875
1717958375.021407,444961,-400.3841552734375
1717958482.7341304,454183,-399.3511962890625
1717958580.4693406,462464,-417.65484619140625
1717958679.7519798,470703,-402.7364807128906
1717958787.2046134,479730,-420.42706298828125
1717958898.3222153,488978,-415.72845458984375
1717959004.40417,497764,-418.789306640625
1717959124.4128072,507764,-422.2347412109375
1717959202.1802204,514226,-420.336181640625
1717959311.6737194,523281,-429.6159973144531
1717959430.5547912,533281,-416.81280517578125
1717959544.9790323,543281,-427.485595703125
1717959662.1718502,553281,-425.6285400390625
1717959780.7552054,563281,-416.95062255859375
1717959894.6165855,572882,-432.9976806640625
1717960012.2626028,582584,-432.20880126953125
1717960129.69211,592262,-432.38507080078125
1717960235.8410347,601006,-439.9898681640625
1717960353.9469113,611006,-435.7853088378906
1717960471.7598293,620937,-443.31353759765625
1717960583.0812166,630293,-444.9211120605469
1717960694.3937395,639611,-440.5160827636719
1717960813.651614,649578,-437.73406982421875
1717960924.0026276,658821,-439.8608703613281
1717961034.3583577,667905,-440.8817138671875
1717961153.3481593,677765,-446.2977600097656
1717961271.4491897,687765,-442.3968505859375
1717961375.4821346,696286,-451.51202392578125
1717961505.3628001,706286,-449.0379638671875
1717961636.4347227,716286,-452.98638916015625
1717961768.2721462,726286,-448.1072082519531
1717961896.0250967,735326,-458.566162109375
1717962020.8388443,744054,-456.60076904296875
1717962158.269238,753063,-461.824462890625
1717962313.341937,763063,-468.19842529296875
1717962465.7011278,772915,-468.12335205078125
1717962649.4519546,782915,-453.1234130859375
1717962827.2000904,792100,-469.9218444824219
