Wall time,Step,Value
1718012266.9953592,245,-28.65528106689453
1718012268.5766912,449,-36.12773132324219
1718012270.4324882,690,-45.98622512817383
1718012271.7344284,857,-52.76968002319336
1718012273.118448,1025,-59.465232849121094
1718012274.4941263,1193,-65.26666259765625
1718012276.0257175,1368,-67.4678726196289
1718012277.3463445,1539,-74.53782653808594
1718012278.7757616,1713,-81.99346923828125
1718012280.7876933,1955,-82.95576477050781
1718012284.4087856,2379,-95.29869842529297
1718012289.868735,3037,-107.82039642333984
1718012293.45399,3493,-114.83212280273438
1718012298.745986,4132,-134.37301635742188
1718012304.0461304,4770,-143.66220092773438
1718012310.7415667,5570,-149.10427856445312
1718012317.5599504,6399,-159.85922241210938
1718012324.8212955,7245,-164.5205078125
1718012330.4286041,7962,-172.97735595703125
1718012336.0480328,8655,-172.99264526367188
1718012341.6923249,9355,-169.5992889404297
1718012347.2674327,10029,-175.916748046875
1718012353.320812,10788,-177.0687255859375
1718012359.7076318,11573,-179.38168334960938
1718012365.6932092,12310,-165.36129760742188
1718012372.9045553,13216,-173.93402099609375
1718012378.2395687,13860,-176.55494689941406
1718012384.4189808,14621,-157.3916015625
1718012389.6847012,15265,-160.61727905273438
1718012395.6397798,16014,-158.420166015625
1718012401.9963696,16752,-163.28842163085938
1718012409.0598395,17577,-160.17453002929688
1718012415.661573,18365,-156.0529022216797
1718012422.501981,19173,-150.570068359375
1718012429.5200434,20012,-155.674560546875
1718012436.4727943,20825,-146.60748291015625
1718012444.0882704,21712,-145.16709899902344
1718012450.8132048,22527,-150.36972045898438
1718012457.4791396,23327,-151.31019592285156
1718012463.7301118,24103,-148.37515258789062
1718012470.0421474,24863,-146.71768188476562
1718012477.145652,25691,-146.7281951904297
1718012482.7529454,26369,-153.14959716796875
1718012489.3546653,27146,-146.55332946777344
1718012495.9768958,27930,-150.5094757080078
1718012501.8218117,28632,-141.9790496826172
1718012508.777573,29457,-142.0498046875
1718012515.9563737,30315,-144.2095947265625
1718012522.808639,31134,-155.14834594726562
1718012529.2449572,31906,-149.12164306640625
1718012535.4140127,32663,-143.96763610839844
1718012541.1591842,33360,-141.2544708251953
1718012547.620114,34157,-140.8414764404297
1718012554.258684,34950,-141.1116485595703
1718012560.6642678,35722,-142.41026306152344
1718012568.165877,36613,-145.62632751464844
1718012575.9715738,37541,-148.31724548339844
1718012584.2653048,38554,-145.16500854492188
1718012591.227234,39387,-143.48135375976562
1718012598.269998,40241,-144.45704650878906
1718012605.0665662,41059,-143.93319702148438
1718012612.1244676,41913,-151.5435333251953
1718012619.482618,42790,-136.12496948242188
1718012626.8638637,43675,-149.3213653564453
1718012634.2995527,44572,-144.11123657226562
1718012641.0638041,45386,-143.5498046875
1718012647.6863234,46216,-147.84800720214844
1718012654.176754,47033,-149.34429931640625
1718012660.503244,47822,-151.9633331298828
1718012668.0316007,48776,-149.1820526123047
1718012674.8539102,49636,-150.57972717285156
1718012681.2327783,50439,-146.96173095703125
1718012689.0770087,51428,-138.4579620361328
1718012697.8121977,52552,-140.42100524902344
1718012705.7557237,53554,-156.0435791015625
1718012713.1615238,54486,-145.39895629882812
1718012721.5294907,55544,-147.15826416015625
1718012728.0941093,56378,-151.4686279296875
1718012736.115716,57404,-144.93930053710938
