Wall time,Step,Value
1718012266.9953785,245,-1.2434015274047852
1718012268.5767045,449,-3.0444414615631104
1718012270.4325013,690,-5.0743255615234375
1718012271.7344418,857,-6.418200492858887
1718012273.1184614,1025,-7.863345146179199
1718012274.4941392,1193,-9.252494812011719
1718012276.0257304,1368,-10.737540245056152
1718012277.346357,1539,-12.050098419189453
1718012278.7757745,1713,-13.626668930053711
1718012280.7877064,1955,-15.738649368286133
1718012284.4087992,2379,-18.405460357666016
1718012289.868747,3037,-22.135604858398438
1718012293.4540026,3493,-23.349260330200195
1718012298.7459986,4132,-25.69384765625
1718012304.0461445,4770,-27.55565643310547
1718012310.7415805,5570,-29.803585052490234
1718012317.5599642,6399,-31.42881202697754
1718012324.8213086,7245,-34.54227066040039
1718012330.4286175,7962,-34.10090637207031
1718012336.0480459,8655,-32.56316375732422
1718012341.6923382,9355,-29.36186981201172
1718012347.2674458,10029,-28.456401824951172
1718012353.320825,10788,-28.063304901123047
1718012359.7076452,11573,-18.70679473876953
1718012365.6932218,12310,-8.928083419799805
1718012372.9045677,13216,-6.699660301208496
1718012378.2395816,13860,-2.946676254272461
1718012384.418994,14621,1.4154417514801025
1718012389.6847143,15265,2.17101788520813
1718012395.6397932,16014,-4.027386665344238
1718012401.9963875,16752,2.209710121154785
1718012409.059854,17577,-3.916720390319824
1718012415.6615853,18365,-0.4247462749481201
1718012422.5019948,19173,-0.8027973175048828
1718012429.5200577,20012,2.316854476928711
1718012436.472807,20825,0.3979494571685791
1718012444.0882835,21712,3.5242934226989746
1718012450.8132164,22527,-0.026515841484069824
1718012457.4791524,23327,-3.8859238624572754
1718012463.730124,24103,3.304964542388916
1718012470.04216,24863,-2.00713849067688
1718012477.1456652,25691,4.406284332275391
1718012482.7529585,26369,-3.230461835861206
1718012489.3546774,27146,1.1960405111312866
1718012495.9769077,27930,-1.6962592601776123
1718012501.8218236,28632,2.073345184326172
1718012508.7775855,29457,-0.9654680490493774
1718012515.9563863,30315,-3.8624558448791504
1718012522.8086512,31134,2.2339775562286377
1718012529.2449703,31906,1.1438698768615723
1718012535.4140246,32663,3.046377658843994
1718012541.159198,33360,2.6199193000793457
1718012547.6201262,34157,5.426370620727539
1718012554.2586968,34950,-2.614075183868408
1718012560.664281,35722,-1.808896780014038
1718012568.1658895,36613,3.1369729042053223
1718012575.971586,37541,-2.2629740238189697
1718012584.2653174,38554,8.858634948730469
1718012591.2272465,39387,-10.29138469696045
1718012598.270011,40241,-2.789330005645752
1718012605.0665781,41059,0.2459355592727661
1718012612.1244812,41913,0.6491280794143677
1718012619.4826305,42790,-2.9039177894592285
1718012626.8638785,43675,-9.472493171691895
1718012634.2995663,44572,4.584012031555176
1718012641.0638175,45386,1.6092829704284668
1718012647.6863368,46216,-4.156424522399902
1718012654.176766,47033,-3.808403730392456
1718012660.5032573,47822,-0.8663022518157959
1718012668.0316129,48776,-5.079054832458496
1718012674.853923,49636,4.068318843841553
1718012681.2327917,50439,-2.5260353088378906
1718012689.077021,51428,-0.1337844729423523
1718012697.8122118,52552,4.558211803436279
1718012705.755736,53554,-5.988825798034668
1718012713.161536,54486,2.9623653888702393
1718012721.5295038,55544,-6.503536224365234
1718012728.0941284,56378,-0.6573135852813721
1718012736.115729,57404,1.9835200309753418
1718012743.154142,58302,1.7229429483413696
1718012751.8812785,59403,5.008749008178711
1718012759.804408,60394,0.2018629014492035
1718012767.2876494,61336,0.930505096912384
1718012776.0369072,62435,0.7213770151138306
1718012784.019596,63412,-1.2082185745239258
1718012794.5496469,64476,6.902994155883789
1718012803.5614793,65391,-7.383243560791016
1718012812.379752,66287,-5.70233154296875
1718012821.6600893,67286,0.27721673250198364
1718012828.7286887,68172,2.071388006210327
1718012836.251904,69113,3.1242825984954834
1718012843.5746758,70025,-3.7959465980529785
1718012852.4615095,71143,3.269292116165161
1718012859.8679233,72068,2.038189172744751
1718012868.8855045,73203,1.561102032661438
1718012878.0177913,74344,-0.9293344020843506
1718012885.7809508,75317,2.448472499847412
1718012893.6944296,76302,0.13737821578979492
1718012901.921084,77332,-1.2761297225952148
1718012911.084194,78429,-0.9806230068206787
1718012920.6513019,79582,-2.4793405532836914
