Wall time,Step,Value
1718000491.3478239,1149,-14.828590393066406
1718000509.6394386,3575,-30.429798126220703
1718000525.9281733,5784,-42.17100524902344
1718000567.208977,11596,-61.98445510864258
1718000572.318499,12357,-65.29750061035156
1718000579.5682642,13521,-70.88441467285156
1718000601.056383,16747,-73.46983337402344
1718000609.604119,17984,-71.9239730834961
1718000659.6453254,24269,-76.79312133789062
1718000668.268467,25515,-75.52888488769531
1718000727.2477865,33725,-82.51193237304688
1718000749.5843527,36981,-78.33462524414062
1718000760.7823672,38638,-84.54849243164062
1718000814.4580712,46759,-83.68243408203125
1718000847.7221992,51961,-76.13736724853516
1718000877.1370893,56559,-84.6317367553711
1718000890.6015325,58654,-79.29991149902344
1718000899.034284,59901,-83.5359115600586
1718000924.5609143,63738,-76.76980590820312
1718000954.5292509,68802,-84.77523803710938
1718000968.2751763,71126,-81.49256896972656
1718000973.999095,72089,-81.68878173828125
1718000976.9788039,72591,-86.57701873779297
1718000988.1468441,74457,-87.95881652832031
1718001010.436791,78179,-92.03659057617188
1718001043.9144561,83776,-88.30793762207031
1718001066.0043,87490,-92.2192153930664
1718001114.7998416,95684,-105.9200439453125
1718001141.151559,100106,-116.31201934814453
1718001163.654624,103875,-118.58192443847656
1718001229.6104057,114959,-112.51081848144531
1718001256.1952422,119414,-124.42672729492188
1718001279.162271,123184,-121.10710144042969
1718001311.6904726,128377,-118.89869689941406
1718001329.7019413,131286,-117.8641586303711
1718001339.0606313,132778,-114.97296142578125
1718001427.4205878,146911,-125.6168212890625
1718001449.9604192,150524,-124.95104217529297
1718001478.3857367,155064,-124.4428482055664
1718001501.9122794,158833,-131.62860107421875
1718001511.5316634,160383,-126.29261016845703
1718001548.8564737,166239,-125.42236328125
1718001607.96985,175050,-124.71341705322266
1718001650.3292434,181806,-123.95728302001953
1718001687.631883,187762,-127.48504638671875
1718001763.5123203,199872,-136.51425170898438
1718001781.9109347,202832,-128.91925048828125
1718001830.2014976,210508,-133.8686981201172
1718002047.5457487,243570,-136.2453155517578
1718002052.4972773,244317,-135.15017700195312
1718002134.5793614,256765,-133.53173828125
1718002144.1464713,258225,-134.9638214111328
1718002149.37952,259029,-131.41696166992188
1718002163.7479053,261197,-133.17510986328125
1718002233.7886636,272349,-135.65347290039062
1718002248.2302318,274667,-131.67620849609375
1718002252.9850817,275442,-134.14938354492188
1718002298.5094543,282806,-133.44189453125
1718002377.645423,295442,-130.46737670898438
1718002386.4688122,296854,-129.67501831054688
1718002484.678111,312502,-137.1136016845703
1718002498.8930354,314790,-145.27362060546875
1718002535.787374,320691,-141.220947265625
1718002563.5817556,325121,-136.3155975341797
1718002573.2814963,326641,-129.02734375
1718002587.420651,328890,-144.85800170898438
1718002615.3444345,333368,-135.06314086914062
1718002639.0766969,337153,-136.77496337890625
1718002685.2933507,344539,-134.76708984375
1718002713.326546,349007,-138.77842712402344
1718002741.8420637,353553,-137.83175659179688
1718002760.3395133,356491,-134.65695190429688
1718002788.2529385,360948,-135.51449584960938
1718002797.230645,362394,-141.6300048828125
1718002820.2497094,366070,-133.78045654296875
1718002824.9472492,366819,-138.3065948486328
1718002853.1557343,371326,-130.3942413330078
1718002893.5534203,377798,-141.0968780517578
1718002976.7056315,391168,-139.124267578125
1718002986.577144,392756,-140.96295166015625
1718003041.9317536,401695,-146.5862274169922
1718003075.247959,407046,-130.73602294921875
1718003079.647432,407745,-128.8663787841797
1718003089.61522,409332,-137.8948516845703
1718003103.4317236,411558,-137.23046875
1718003112.8576617,413045,-134.67535400390625
1718003166.6117742,421890,-137.55722045898438
1718003180.005235,424089,-136.41885375976562
1718003198.0447216,427060,-134.88638305664062
1718003211.7083564,429259,-140.6334228515625
1718003225.2759845,431464,-138.4862060546875
1718003242.9510515,434346,-141.32846069335938
1718003264.420644,437904,-134.36953735351562
1718003286.2072084,441547,-148.42864990234375
1718003403.9875216,460949,-140.95904541015625
1718003421.6813822,463902,-139.913818359375
1718003439.2524319,466809,-131.69927978515625
1718003443.7203426,467512,-140.33547973632812
1718003475.510611,472786,-140.5321044921875
1718003516.9898152,479609,-132.1727752685547
1718003535.5624611,482696,-137.88534545898438
1718003553.6695206,485725,-143.53262329101562
1718003576.5841913,489489,-136.89617919921875
1718003595.1660023,492483,-133.3671417236328
1718003636.3381395,499321,-138.3829803466797
1718003654.6118653,502313,-138.67657470703125
1718003659.020209,503044,-137.1466064453125
1718003663.347483,503763,-135.9658203125
1718003672.2127173,505247,-141.2185516357422
1718003676.5059407,505966,-138.2552947998047
1718003703.1717184,510401,-137.06246948242188
1718004040.767284,514066,-143.45309448242188
1718004051.2391922,515589,-137.8391571044922
1718004080.38847,519498,-144.03993225097656
1718004090.5097032,520983,-148.27706909179688
1718004112.6110969,524015,-141.4912109375
1718004132.3043015,527038,-138.23513793945312
1718004156.2367508,530686,-129.47254943847656
1718004160.938176,531416,-139.87188720703125
1718004165.7678237,532173,-136.69482421875
1718004295.4519494,549543,-134.853515625
1718004318.5652447,552619,-146.19432067871094
1718004502.528949,577339,-138.53152465820312
1718004530.0170145,581038,-140.16000366210938
1718004541.2100124,582556,-140.61636352539062
