Wall time,Step,Value
1717979422.4441931,6018,-33.6436767578125
1717979427.0256965,6462,-32.53851318359375
1717979466.9987683,10307,-33.47065734863281
1717979500.5618553,13527,-33.58835983276367
1717979598.7058988,22957,-35.495399475097656
1717979613.3690202,24365,-37.35124206542969
1717979714.3448598,34069,-35.847984313964844
1717979722.4645832,34855,-36.83137130737305
1717979756.5823038,38139,-35.60459518432617
1717979785.851228,40954,-37.2740592956543
1717979842.9130054,46444,-36.59444046020508
1717979846.3811107,46757,-37.30853271484375
1717979860.0770094,48012,-35.903038024902344
1717980027.5425851,64146,-34.4744758605957
1717980090.8804507,70256,-36.30643844604492
1717980113.6632092,72447,-37.71105194091797
1717980214.539786,82153,-36.157928466796875
1717980258.3746188,86375,-38.904823303222656
1717980284.2657652,88873,-38.445777893066406
1717980295.519827,89962,-34.57542037963867
1717980373.6200628,97485,-36.992042541503906
1717980394.7476978,99520,-38.12656784057617
1717980417.505301,101712,-36.563087463378906
1717980433.8473716,103278,-38.906944274902344
1717980503.8444586,109990,-36.92755126953125
1717980516.8646257,111244,-33.79444122314453
1717980597.0071213,118924,-36.668113708496094
1717980619.8070412,121113,-36.5648193359375
1717980623.0475314,121427,-36.61088180541992
1717980647.5061357,123767,-38.69135284423828
1717980657.3617659,124706,-37.20265197753906
1717980703.3076196,129089,-36.77771759033203
1717980881.201981,146140,-38.1477165222168
1717980924.36841,150220,-36.28742218017578
1717980980.721665,155534,-35.69453430175781
1717980995.563262,156937,-36.91115188598633
1717981077.4755576,164635,-37.04267883300781
1717981082.4662678,165104,-36.7196044921875
1717981145.6079392,171060,-36.509735107421875
1717981279.0435627,182931,-36.68659591674805
1717981435.0855227,195608,-38.05009460449219
1717981540.6026573,204248,-36.70646667480469
1717981546.4411488,204722,-38.03318786621094
1717981573.8047261,206915,-38.99361038208008
1717981581.763662,207547,-36.477561950683594
1717981674.246282,215058,-36.852142333984375
1717981688.0994024,216154,-39.04447937011719
1717981754.613099,221478,-38.33881759643555
1717981773.8102574,223043,-37.465457916259766
1717981831.1781232,227746,-37.35932922363281
1717981879.874772,231659,-35.66845703125
1717981934.5728545,236667,-37.336830139160156
1717981983.5495,241213,-37.14126968383789
1717982010.5900698,243717,-37.08082962036133
1717982037.5549793,246224,-36.0437126159668
1717982072.8679922,249513,-36.371238708496094
1717982131.989616,254995,-38.88739776611328
1717982218.1973946,262986,-37.47633361816406
1717982248.8891954,265804,-38.25944137573242
1717982264.1331933,267216,-37.707489013671875
1717982287.6893637,269403,-38.18317413330078
1717982291.110828,269712,-37.054805755615234
1717982296.2465997,270186,-39.62421798706055
1717982370.616449,277067,-37.714439392089844
1717982477.669012,286940,-36.26605224609375
1717982493.1990387,288335,-39.636497497558594
1717982515.489614,290372,-34.87278747558594
1717982520.534201,290839,-38.756561279296875
1717982533.981674,292085,-39.86952209472656
1717982601.7510474,298343,-36.482017517089844
1717982630.515351,301008,-37.35206604003906
1717982652.5708432,303047,-35.735862731933594
1717982744.338393,311500,-37.99332046508789
1717982803.9842386,316985,-37.586097717285156
1717982873.7742584,323417,-38.022613525390625
1717982905.61172,326386,-36.729339599609375
1717983060.5286038,340653,-35.869873046875
1717983080.7547007,342528,-37.65235137939453
1717983102.0015652,344411,-35.51282501220703
1717983136.187303,347539,-35.04670715332031
1717983144.949786,348323,-36.63098907470703
1717983146.7584262,348483,-36.66084671020508
1717983180.2340474,351606,-35.87074661254883
1717983188.6144812,352386,-37.380069732666016
1717983264.3002443,359420,-38.360107421875
1717983284.5967696,361303,-39.83404541015625
1717983343.5354512,366770,-35.86128616333008
1717983402.9903579,372258,-39.00859451293945
1717983404.6712143,372414,-37.213584899902344
1717983482.4710424,379628,-38.35350036621094
1717983511.354696,382286,-38.72734451293945
1717983514.7478843,382600,-37.25141906738281
1717983523.2212012,383383,-39.006587982177734
1717983566.6277616,387299,-37.452266693115234
1717983568.4010015,387457,-38.342742919921875
1717983586.1733599,389023,-38.49264144897461
1717983589.5643177,389334,-38.271522521972656
1717983598.0675604,390121,-36.808013916015625
1717983647.2283502,394663,-36.93241500854492
1717983673.502272,397012,-37.214881896972656
1717983683.615676,397953,-38.070003509521484
1717983909.3408966,418546,-36.59360122680664
1717984005.1601062,427138,-38.25371551513672
1717984029.5905957,429325,-38.550331115722656
1717984091.0372727,434810,-37.59496307373047
1717984277.725135,451528,-36.322601318359375
1717984399.4937685,462669,-37.73777770996094
1717984474.3436458,469548,-40.72089385986328
1717984521.6763883,473777,-40.128509521484375
1717984526.9444015,474248,-39.27397918701172
1717984627.7541459,483354,-38.06066131591797
1717984733.87057,493067,-38.431884765625
1717984793.8396735,498547,-36.30622482299805
1717984852.2759266,503871,-36.8734245300293
1717984876.3609903,506068,-36.43672180175781
1717984879.8093946,506381,-36.20501708984375
1717984881.506332,506537,-37.966461181640625
1717984981.6066015,515628,-37.23784637451172
1717985159.1468866,531723,-38.49878692626953
1717985229.8727217,538131,-38.80331802368164
1717985285.2448826,542992,-37.657798767089844
1717985495.9409313,561771,-39.68437957763672
1717985527.679177,564594,-38.12385559082031
1717985531.175585,564906,-37.75492477416992
1717985619.142993,572720,-36.751773834228516
1717985717.9900854,581498,-38.63301086425781
1717985744.5002635,583849,-38.07533645629883
1717985836.0545251,591982,-37.359375
1717985873.1365354,595271,-38.257476806640625
1717985885.4748292,596366,-38.855613708496094
1717985961.1675487,603093,-38.557395935058594
1717986073.7163434,613086,-37.42390441894531
1717986123.1628237,617469,-35.549072265625
1717986172.5509906,621847,-37.800987243652344
1717986264.4852784,629996,-39.772621154785156
1717986374.523825,639712,-38.4407844543457
1717986394.0130582,641439,-36.81700897216797
1717986523.4525514,652864,-40.618507385253906
1717986548.3109941,655054,-35.94792175292969
1717986558.8604991,655989,-36.60847854614258
1717986603.5140066,659912,-38.253822326660156
1717986612.4391685,660699,-37.483638763427734
1717986667.5476868,665554,-38.437129974365234
1717986740.6681876,671954,-35.70444869995117
1717986763.761428,673984,-38.143882751464844
1717986767.3073819,674297,-38.03257751464844
