train/n_updates,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/critic_loss,time/fps,train/ent_coef_loss,time/episodes,train/actor_loss
126,22.7,0.0003,114.6126532,1,227,0.9622815847396851,18.295455932617188,135,-1.0683872699737549,10,-27.18746566772461
338,21.95,0.0003,110.58669894999998,4,439,0.9004174470901489,10.655218124389648,107,-2.962872266769409,20,-36.52067565917969
535,21.2,0.0003,106.73117039999998,6,636,0.8478246927261353,12.145511627197266,100,-4.600337028503418,30,-43.38954544067383
700,20.025,0.0003,100.350999175,8,801,0.806698739528656,11.94075870513916,96,-5.935912609100342,40,-52.02105712890625
866,19.34,0.0003,96.54914325999998,10,967,0.7674369812011719,7.076179504394531,93,-7.400507926940918,50,-57.12223815917969
1040,19.016666666666666,0.0003,94.75088123333333,12,1141,0.7282145023345947,7.753276824951172,92,-8.786332130432129,60,-64.62301635742188
1213,18.771428571428572,0.0003,93.39276591428572,14,1314,0.6913082003593445,11.711567878723145,90,-10.230627059936523,70,-70.60741424560547
1406,18.8375,0.0003,93.649438275,17,1507,0.6525856256484985,17.608318328857422,87,-11.785286903381348,80,-73.7030258178711
1583,18.711111111111112,0.0003,92.98527853333331,19,1684,0.6191756129264832,12.530111312866211,84,-13.090862274169922,90,-78.34907531738281
1784,18.85,0.0003,93.73469206999998,23,1885,0.5835005640983582,10.774407386779785,81,-14.695619583129883,100,-88.37461853027344
2052,19.26,0.0003,95.89126796,27,2153,0.5394588708877563,30.644197463989258,78,-16.260374069213867,110,-93.06489562988281
2443,21.05,0.0003,105.07987894,33,2544,0.4818214774131775,15.532915115356445,75,-18.803316116333008,120,-98.21314239501953
2986,24.51,0.0003,123.33218025999997,40,3087,0.4127063453197479,15.847174644470215,75,-21.22469139099121,130,-106.85386657714844
3742,30.42,0.0003,153.91716885999998,52,3843,0.33555543422698975,24.44214630126953,73,-23.862998962402344,140,-120.04240417480469
4060,31.94,0.0003,161.89251793000003,57,4161,0.3083462119102478,28.01201820373535,72,-24.65924072265625,150,-127.05409240722656
4719,36.79,0.0003,186.19248515000007,69,4820,0.2590533494949341,31.084835052490234,69,-26.054794311523438,160,-132.47848510742188
5495,42.82,0.0003,215.92641160999995,84,5596,0.21099089086055756,31.24089813232422,65,-27.13214874267578,170,-145.95938110351562
6319,49.13,0.0003,249.28660258,100,6420,0.16961893439292908,36.37714385986328,63,-27.938932418823242,180,-151.41847229003906
7094,55.11,0.0003,280.00461772,116,7195,0.13791276514530182,45.35169219970703,61,-29.690868377685547,190,-155.45779418945312
7883,60.99,0.0003,309.48613787000005,133,7984,0.11294960230588913,71.18167114257812,59,-26.650251388549805,200,-153.92062377929688
8551,64.99,0.0003,328.96004596000006,148,8652,0.0962393581867218,54.23945236206055,58,-24.293363571166992,210,-160.9352264404297
9312,68.69,0.0003,348.0325025599999,166,9413,0.07994013279676437,61.44875717163086,56,-24.197555541992188,220,-154.98275756835938
10114,71.28,0.0003,362.04189349,190,10215,0.06595700979232788,52.595542907714844,53,-17.866439819335938,230,-170.387939453125
10798,70.56,0.0003,360.25036982000006,212,10899,0.05681027099490166,38.48517990112305,51,-18.752275466918945,240,-166.74166870117188
11453,73.93,0.0003,379.54032573000006,234,11554,0.0491936132311821,55.79667663574219,49,-14.981935501098633,250,-159.84799194335938
12179,74.6,0.0003,384.03834810999996,258,12280,0.04325111210346222,52.272117614746094,47,-7.2001776695251465,260,-149.28480529785156
12880,73.85,0.0003,380.64751571,281,12981,0.03941013664007187,52.465538024902344,46,0.9754005670547485,270,-169.92237854003906
13587,72.68,0.0003,374.75725049,304,13688,0.037100739777088165,51.194732666015625,44,1.5902268886566162,280,-161.24472045898438
14169,70.75,0.0003,366.03062704999996,323,14270,0.03521120548248291,84.634521484375,44,-1.6575734615325928,290,-163.78370666503906
14960,70.77,0.0003,366.56630371999995,349,15061,0.03349903225898743,73.1226577758789,43,1.9317386150360107,300,-153.94723510742188
15724,71.73,0.0003,372.0028426299999,374,15825,0.03226735070347786,44.556060791015625,42,3.2265560626983643,310,-151.44879150390625
16503,71.91,0.0003,373.11547812,399,16604,0.031081736087799072,45.724937438964844,41,1.9409818649291992,320,-159.61184692382812
17305,71.91,0.0003,371.93469743,425,17406,0.030508538708090782,43.452884674072266,40,0.7018373608589172,330,-151.74899291992188
18030,72.32,0.0003,374.58666741,448,18131,0.02992052398622036,53.71977233886719,40,-2.1261510848999023,340,-146.26727294921875
18752,72.99,0.0003,378.19930839999995,472,18853,0.02912624552845955,39.52165222167969,39,0.882483720779419,350,-146.79806518554688
19554,73.75,0.0003,383.12374049999994,497,19655,0.02758423425257206,50.34486389160156,39,0.5385926961898804,360,-146.67291259765625
20266,73.86,0.0003,383.56896360999997,520,20367,0.027675563469529152,53.936439514160156,39,-5.05438756942749,370,-150.44384765625
21005,74.18,0.0003,385.48587875000004,544,21106,0.027069581672549248,42.613441467285156,38,-0.2994859218597412,380,-147.25076293945312
21760,75.91,0.0003,392.71813772,568,21861,0.02671133354306221,45.25140380859375,38,1.999862790107727,390,-142.55517578125
22590,76.3,0.0003,394.44253744,595,22691,0.025655901059508324,41.05377960205078,38,-0.7261192798614502,400,-140.27830505371094
23552,78.28,0.0003,404.98470720999995,626,23653,0.025938304141163826,32.32171630859375,37,-1.4440537691116333,410,-143.99607849121094
24250,77.47,0.0003,401.2735312899999,650,24351,0.02590581402182579,41.410057067871094,37,2.0687031745910645,420,-143.15219116210938
25028,77.23,0.0003,400.5420902,676,25129,0.02488010749220848,34.81840515136719,37,2.2658586502075195,430,-131.60169982910156
25722,76.92,0.0003,397.4291774099999,698,25823,0.024659477174282074,38.1552848815918,36,-2.5136983394622803,440,-142.69436645507812
26571,78.19,0.0003,401.90111481,726,26672,0.023897644132375717,40.539161682128906,36,3.07129168510437,450,-143.81625366210938
27435,78.81,0.0003,404.31714444,753,27536,0.023310484364628792,31.783666610717773,36,3.015573024749756,460,-139.20616149902344
28317,80.51,0.0003,414.70979214999994,782,28418,0.02296546660363674,26.745969772338867,36,5.856515884399414,470,-142.39952087402344
29180,81.75,0.0003,420.6402965,809,29281,0.022290950641036034,38.39577865600586,36,0.8571454882621765,480,-138.2958221435547
30199,84.39,0.0003,434.35267458999994,842,30300,0.022496962919831276,28.58559799194336,35,3.1135363578796387,490,-136.48037719726562
31119,85.29,0.0003,439.01423442999993,872,31220,0.02301607094705105,27.761064529418945,35,-2.182706117630005,500,-141.24496459960938
31922,83.7,0.0003,432.8392043,897,32023,0.02222415991127491,29.794281005859375,35,-0.9387818574905396,510,-128.84939575195312
32857,86.07,0.0003,444.37160967000005,927,32958,0.02259557694196701,27.436954498291016,35,-0.8015294075012207,520,-139.95956420898438
33655,86.27,0.0003,445.20766602000003,952,33756,0.021142886951565742,30.984434127807617,35,-3.305408239364624,530,-140.19540405273438
34581,88.59,0.0003,455.85279534,982,34682,0.021222732961177826,30.10446548461914,35,-6.215277671813965,540,-142.9289093017578
35537,89.66,0.0003,461.2722410099999,1012,35638,0.021004563197493553,23.54098129272461,35,2.0698227882385254,550,-146.36477661132812
36309,88.74,0.0003,456.24217088999995,1038,36410,0.020675115287303925,27.75757598876953,35,-3.3275325298309326,560,-137.56983947753906
37177,88.6,0.0003,454.2554076,1066,37278,0.021468138322234154,30.12643814086914,34,-1.9687583446502686,570,-142.61309814453125
38020,88.4,0.0003,453.3546923900001,1094,38121,0.020273495465517044,30.439376831054688,34,5.832967758178711,580,-144.0815887451172
38823,86.24,0.0003,443.3813923199999,1120,38924,0.020577112212777138,23.270130157470703,34,4.898731231689453,590,-146.84747314453125
39827,87.08,0.0003,448.82736173000006,1152,39928,0.02076461724936962,25.212697982788086,34,1.4435794353485107,600,-145.0813446044922
40727,88.05,0.0003,451.76001229,1181,40828,0.020857810974121094,22.392465591430664,34,-1.1760880947113037,610,-140.458984375
41607,87.5,0.0003,447.35962763,1210,41708,0.01999020203948021,39.39439392089844,34,-0.5652027130126953,620,-145.563232421875
42492,88.37,0.0003,449.26884069999994,1238,42593,0.020280158147215843,25.670074462890625,34,-4.087466716766357,630,-144.50758361816406
43413,88.32,0.0003,447.40310425,1268,43514,0.019765375182032585,31.608224868774414,34,1.194810152053833,640,-158.08526611328125
44394,88.57,0.0003,448.95654522999996,1299,44495,0.019754232838749886,24.86359405517578,34,1.6342508792877197,650,-152.71749877929688
45361,90.52,0.0003,458.6268839999999,1330,45462,0.019806986674666405,38.10420608520508,34,-3.7021420001983643,660,-142.6511993408203
46184,90.07,0.0003,456.70428791,1357,46285,0.019712798297405243,24.859039306640625,34,1.1317355632781982,670,-144.10302734375
47030,90.1,0.0003,456.25043468,1384,47131,0.01953730918467045,25.868793487548828,34,0.7773239612579346,680,-146.137939453125
47888,90.65,0.0003,459.2399187599999,1412,47989,0.018979867920279503,24.793359756469727,33,0.7825789451599121,690,-144.05738830566406
48841,90.14,0.0003,454.93107583,1442,48942,0.01885775662958622,32.29753112792969,33,-0.39342594146728516,700,-149.59060668945312
49906,91.79,0.0003,462.66822265999997,1477,50007,0.01893477328121662,26.152172088623047,33,-2.5748233795166016,710,-146.00735473632812
51074,94.67,0.0003,479.5317923699999,1514,51175,0.01883350871503353,32.52424621582031,33,-1.6083440780639648,720,-150.76693725585938
51986,94.94,0.0003,483.9627886900001,1543,52087,0.018518619239330292,22.5674991607666,33,-1.4464257955551147,730,-145.265625
52975,95.62,0.0003,490.42978134,1575,53076,0.01836787350475788,25.07278060913086,33,1.5723860263824463,740,-152.7849884033203
53920,95.26,0.0003,490.89178413999997,1606,54021,0.017979677766561508,26.084325790405273,33,5.654996395111084,750,-150.91238403320312
54871,95.1,0.0003,492.74722343,1636,54972,0.018042828887701035,21.777986526489258,33,-3.14725399017334,760,-153.525634765625
55836,96.52,0.0003,500.79630707,1667,55937,0.017964277416467667,27.79250717163086,33,6.85716438293457,770,-161.8641357421875
56740,97.1,0.0003,502.8731462999999,1697,56841,0.017843227833509445,23.735795974731445,33,-4.829880714416504,780,-144.4825439453125
57829,99.41,0.0003,512.0715271399998,1732,57930,0.017621884122490883,23.1424617767334,33,3.0918374061584473,790,-154.05490112304688
58631,97.9,0.0003,505.88869057999995,1758,58732,0.017471689730882645,28.42350959777832,33,-1.2035636901855469,800,-154.20169067382812
59504,95.98,0.0003,496.29273116999997,1786,59605,0.01704038307070732,28.759817123413086,33,3.2309322357177734,810,-150.99327087402344
60489,94.15,0.0003,485.06037051,1817,60590,0.017567526549100876,27.455745697021484,33,3.0262386798858643,820,-150.5211944580078
61610,96.24,0.0003,493.67038785999995,1853,61711,0.017370136454701424,21.118541717529297,33,-1.1398251056671143,830,-150.0386962890625
62624,96.49,0.0003,492.49729326,1886,62725,0.017299668863415718,29.12375259399414,33,-0.9303330779075623,840,-156.70883178710938
63892,99.72,0.0003,505.09908444999996,1927,63993,0.017763176932930946,24.837646484375,33,3.8168716430664062,850,-158.1857452392578
65048,101.77,0.0003,511.68971295999995,1964,65149,0.017521854490041733,30.327911376953125,33,4.180169105529785,860,-151.03433227539062
66182,103.46,0.0003,520.67016666,2001,66283,0.01728702150285244,26.37419319152832,33,-1.840888500213623,870,-149.13681030273438
67356,106.16,0.0003,534.99579904,2039,67457,0.017338275909423828,29.04698944091797,33,4.972378730773926,880,-162.50900268554688
68438,106.09,0.0003,538.3967395999999,2074,68539,0.017268911004066467,31.181615829467773,33,-0.31109505891799927,890,-156.96591186523438
69566,109.35,0.0003,551.4562357499999,2111,69667,0.017524203285574913,29.002099990844727,32,-1.9328083992004395,900,-157.166015625
70932,114.28,0.0003,576.05394099,2156,71033,0.017237961292266846,27.91480827331543,32,1.8287523984909058,910,-158.0494384765625
72293,118.04,0.0003,597.92976303,2200,72394,0.017584463581442833,25.119321823120117,32,2.732595443725586,920,-164.72280883789062
73693,120.83,0.0003,611.3940749400001,2247,73794,0.017517829313874245,28.864164352416992,32,0.23855650424957275,930,-160.85679626464844
75117,124.93,0.0003,634.95217589,2292,75218,0.017329655587673187,30.59450912475586,32,-0.41600000858306885,940,-158.7413330078125
76302,124.1,0.0003,629.67354757,2329,76403,0.0176666509360075,32.31824493408203,32,-2.5169754028320312,950,-170.83285522460938
77518,124.7,0.0003,632.1647989100001,2368,77619,0.01771535910665989,28.95221519470215,32,3.0472569465637207,960,-162.63909912109375
79060,128.78,0.0003,649.8459308,2418,79161,0.018123233690857887,27.032615661621094,32,3.0391180515289307,970,-156.1957550048828
80370,130.14,0.0003,655.9070829799999,2461,80471,0.01797482557594776,34.389404296875,32,1.9848803281784058,980,-165.60824584960938
81546,131.08,0.0003,655.80173826,2499,81647,0.018333800137043,23.835159301757812,32,-0.28678256273269653,990,-164.66329956054688
82990,134.24,0.0003,677.3349479200001,2544,83091,0.01803205907344818,24.15826416015625,32,-1.0024102926254272,1000,-157.86708068847656
84658,137.26,0.0003,696.0851128200001,2597,84759,0.018261928111314774,33.010833740234375,32,1.6578432321548462,1010,-164.3626251220703
86198,139.05,0.0003,704.9559232099999,2647,86299,0.01878935843706131,29.648080825805664,32,-1.0443799495697021,1020,-170.4135284423828
87754,140.61,0.0003,715.22662548,2696,87855,0.01877814345061779,28.383962631225586,32,-0.3716402053833008,1030,-162.27435302734375
89418,143.01,0.0003,728.0608969700002,2750,89519,0.01905670203268528,34.414730072021484,32,-0.908367395401001,1040,-180.65338134765625
91293,149.91,0.0003,764.2686508100003,2809,91394,0.019402258098125458,31.93869972229004,32,5.00741720199585,1050,-174.07919311523438
93636,161.18,0.0003,821.24974094,2884,93737,0.01937401480972767,26.051021575927734,32,2.7454111576080322,1060,-183.90036010742188
95741,166.81,0.0003,849.4488861800002,2952,95842,0.019873730838298798,28.41110610961914,32,0.08714210987091064,1070,-179.61898803710938
97750,173.8,0.0003,884.48526816,3016,97851,0.020177356898784637,33.598243713378906,32,-3.7735729217529297,1080,-185.4512481689453
99291,177.45,0.0003,904.0423894200001,3065,99392,0.020298568531870842,32.91044235229492,32,-3.934601306915283,1090,-172.512451171875
100770,177.8,0.0003,903.0369453699999,3112,100871,0.020030109211802483,31.894145965576172,32,3.294759750366211,1100,-185.66360473632812
