train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,train/n_updates,train/actor_loss,rollout/ep_len_mean,time/episodes
0.001,94.3097576,0,1.671648383140564,248,192,91,-6.054361820220947,19.2,10
0.001,82.16690849999999,1,1.4363548755645752,186,340,239,-8.457328796386719,17.0,20
0.001,78.41718936666668,2,0.7784367799758911,173,490,389,-10.802982330322266,16.333333333333332,30
0.001,76.4288546,3,0.6118326187133789,161,639,538,-11.984842300415039,15.975,40
0.001,75.14775916,5,0.6017423868179321,157,787,686,-13.685506820678711,15.74,50
0.001,74.36198901666666,6,0.5030719637870789,152,936,835,-14.89510726928711,15.6,60
0.001,73.80122335714286,7,0.465808629989624,148,1085,984,-15.817535400390625,15.5,70
0.001,73.49954145,8,0.5912173986434937,145,1236,1135,-17.04727554321289,15.45,80
0.001,73.3266726777778,9,0.5878791809082031,144,1388,1287,-17.853282928466797,15.422222222222222,90
0.001,73.13199652000002,10,0.9890419244766235,144,1539,1438,-19.581884384155273,15.39,100
0.001,70.89509268,11,0.5064728260040283,143,1691,1590,-21.053497314453125,14.99,110
0.001,71.85541401999998,13,5.778367519378662,142,1863,1762,-21.531719207763672,15.23,120
0.001,72.85389895,14,2.3264613151550293,140,2035,1934,-22.658611297607422,15.45,130
0.001,73.93209608000001,16,4.73699951171875,137,2208,2107,-23.57903289794922,15.69,140
0.001,75.26363640999999,17,1.1322154998779297,136,2388,2287,-24.593158721923828,16.01,150
0.001,76.61156580000001,18,1.0989274978637695,136,2570,2469,-26.212581634521484,16.34,160
0.001,77.79525462999999,20,1.4015390872955322,135,2747,2646,-26.714893341064453,16.62,170
0.001,79.1186946,21,0.8795497417449951,134,2932,2831,-27.54206085205078,16.96,180
0.001,80.52798283,23,0.4238318204879761,133,3122,3021,-28.374601364135742,17.34,190
0.001,81.76942538,24,0.9920058846473694,132,3304,3203,-30.333999633789062,17.65,200
0.001,82.99656374,26,1.2255247831344604,131,3487,3386,-30.41878890991211,17.96,210
0.001,83.44865997000001,28,0.41067275404930115,130,3670,3569,-31.596378326416016,18.07,220
0.001,83.66288337999998,29,0.3424079120159149,128,3849,3748,-32.82139587402344,18.14,230
0.001,83.81766338,31,0.6703417301177979,126,4028,3927,-32.224021911621094,18.2,240
0.001,83.80660727,33,0.7630585432052612,125,4208,4107,-32.24504089355469,18.2,250
0.001,84.18734348,35,1.8998116254806519,125,4403,4302,-33.2928352355957,18.33,260
0.001,84.35829636999999,36,1.029565453529358,123,4585,4484,-33.985260009765625,18.38,270
0.001,83.97827803999999,38,1.8020577430725098,123,4757,4656,-37.24060821533203,18.25,280
0.001,83.48805084,40,1.0607354640960693,122,4930,4829,-36.72480392456055,18.08,290
0.001,83.2094949,41,2.08235239982605,122,5102,5001,-34.38670349121094,17.98,300
0.001,83.02487024,43,1.2978758811950684,122,5279,5178,-37.2564697265625,17.92,310
0.001,82.78351488999999,44,1.310631513595581,121,5454,5353,-39.33599090576172,17.84,320
0.001,83.08994987999999,46,1.5720107555389404,121,5645,5544,-36.483978271484375,17.96,330
0.001,83.07200960999998,48,2.62886118888855,121,5823,5722,-35.07911682128906,17.95,340
0.001,82.95215447999999,49,1.3934390544891357,120,5999,5898,-38.052734375,17.91,350
0.001,82.40647075000001,51,0.8660641312599182,119,6176,6075,-39.466590881347656,17.73,360
0.001,82.18420558,53,1.4323806762695312,119,6351,6250,-37.927879333496094,17.66,370
0.001,82.56491659,54,1.7173399925231934,119,6536,6435,-39.29322052001953,17.79,380
0.001,82.66393924,56,0.8534771203994751,118,6713,6612,-40.08655548095703,17.83,390
0.001,82.76120184999999,58,0.6587185859680176,118,6889,6788,-39.486961364746094,17.87,400
0.001,82.74616019000001,59,1.1686896085739136,118,7066,6965,-40.361331939697266,17.87,410
0.001,82.83422466999998,61,1.4193236827850342,118,7244,7143,-37.8154411315918,17.9,420
0.001,82.41317411999998,63,1.5676711797714233,117,7420,7319,-39.652381896972656,17.75,430
0.001,82.74207731,64,1.062971591949463,117,7610,7509,-38.32923126220703,17.87,440
0.001,82.83438186,66,1.0253064632415771,117,7789,7688,-38.490264892578125,17.9,450
0.001,82.93087404999999,67,0.9794542193412781,117,7969,7868,-39.832252502441406,17.93,460
0.001,82.9673633,69,1.877701759338379,117,8145,8044,-41.08580780029297,17.94,470
0.001,82.78740457999999,71,1.9159921407699585,116,8323,8222,-38.38435363769531,17.87,480
0.001,82.91334748999999,73,1.6781548261642456,116,8504,8403,-39.894405364990234,17.91,490
0.001,82.77557835000002,74,1.10260009765625,116,8676,8575,-38.95220947265625,17.87,500
0.001,82.79952585000001,76,2.4153637886047363,115,8854,8753,-41.50185012817383,17.88,510
0.001,82.85560988000002,78,1.217832326889038,115,9034,8933,-41.56500244140625,17.9,520
0.001,82.97360497,80,1.2542563676834106,114,9213,9112,-40.87896728515625,17.93,530
0.001,82.722088,81,1.2934796810150146,114,9394,9293,-38.922237396240234,17.84,540
0.001,82.58081057000001,83,1.1220566034317017,114,9568,9467,-38.397483825683594,17.79,550
0.001,82.67050837999999,85,1.6935644149780273,114,9751,9650,-39.733734130859375,17.82,560
0.001,82.67560610000001,87,1.8510699272155762,113,9928,9827,-42.378150939941406,17.83,570
0.001,82.62091499999998,89,1.4210903644561768,113,10105,10004,-39.446197509765625,17.82,580
0.001,82.69441138,90,1.6168038845062256,113,10288,10187,-41.74732208251953,17.84,590
0.001,82.94859847,92,1.338667869567871,112,10468,10367,-41.51005554199219,17.92,600
0.001,83.08258009000001,94,1.499151587486267,112,10649,10548,-41.08979034423828,17.95,610
0.001,83.29226703,96,2.3333804607391357,112,10836,10735,-40.49645233154297,18.02,620
0.001,83.15749177999999,98,2.377713203430176,111,11011,10910,-43.48179626464844,17.98,630
0.001,83.21909836,100,2.159571647644043,111,11194,11093,-39.58428192138672,18.0,640
0.001,83.40842357,101,1.3825753927230835,111,11375,11274,-40.4434814453125,18.07,650
0.001,83.03631881000001,103,1.2625160217285156,111,11545,11444,-38.18446350097656,17.94,660
0.001,83.04884629999998,105,1.523343801498413,111,11722,11621,-40.99010467529297,17.94,670
0.001,82.87662734,107,1.074171781539917,110,11893,11792,-38.730873107910156,17.88,680
