time/time_elapsed,train/n_updates,rollout/ep_rew_mean,train/policy_loss,time/iterations,train/entropy_loss,rollout/ep_len_mean,time/total_timesteps,train/explained_variance,train/std,train/learning_rate,time/fps,train/value_loss
0,9,111.2316945,331.6520080566406,10,-24.030969619750977,24.0,50,0.12602329,0.9948037266731262,0.0007,86,216.92068481445312
1,19,100.28566900000001,339.9377746582031,20,-24.00154685974121,21.25,100,0.16880882,0.9932053685188293,0.0007,89,217.75401306152344
1,29,93.841767,324.8407897949219,30,-23.995656967163086,19.714285714285715,150,0.22278523,0.9923001527786255,0.0007,89,242.3391571044922
2,39,93.11960180000001,314.10198974609375,40,-23.978551864624023,19.5,200,-0.048299074,0.991696298122406,0.0007,98,235.22634887695312
2,49,94.08842858333334,363.53759765625,50,-23.99373435974121,19.75,250,0.29513615,0.9925966858863831,0.0007,103,255.604736328125
2,59,95.88703660000002,341.521484375,60,-23.958946228027344,20.0,300,0.11409044,0.9904253482818604,0.0007,105,257.08807373046875
3,69,98.43685388235293,243.67910766601562,70,-23.945531845092773,20.58823529411765,350,0.09565842,0.989840567111969,0.0007,99,138.16624450683594
3,79,102.23399372222222,338.2520446777344,80,-23.93511962890625,21.333333333333332,400,0.013330102,0.9895042181015015,0.0007,101,206.0386505126953
4,89,102.84233255,322.03057861328125,90,-23.9393310546875,21.45,450,0.23923475,0.9893471002578735,0.0007,102,265.60693359375
4,99,102.87002221739128,151.02908325195312,100,-23.936452865600586,21.391304347826086,500,0.16862178,0.9893806576728821,0.0007,104,68.56084442138672
5,109,100.75651130769232,140.16983032226562,110,-23.927288055419922,20.96153846153846,550,-0.2050569,0.9887351989746094,0.0007,106,89.61943817138672
5,119,100.23023614285715,320.24615478515625,120,-23.926498413085938,20.892857142857142,600,-0.56605244,0.9886297583580017,0.0007,108,278.9888610839844
5,129,101.62710013333334,329.56988525390625,130,-23.941831588745117,21.166666666666668,650,-0.4835924,0.9896499514579773,0.0007,110,250.1839599609375
6,139,100.29134803030304,350.6307678222656,140,-23.933528900146484,20.87878787878788,700,-0.08569145,0.9894065856933594,0.0007,111,229.8218231201172
6,149,99.94971594444445,331.2823486328125,150,-23.954185485839844,20.77777777777778,750,0.3909614,0.9903550148010254,0.0007,110,224.54385375976562
7,159,101.39408442105264,387.6384582519531,160,-23.937660217285156,21.0,800,-0.056335807,0.9894014000892639,0.0007,111,318.33380126953125
7,169,102.69404312499998,551.8124389648438,170,-23.947872161865234,21.225,850,0.66001284,0.9899523258209229,0.0007,112,581.2362060546875
7,179,102.37648321428568,354.4795837402344,180,-23.9227294921875,21.142857142857142,900,0.31583643,0.9882460236549377,0.0007,113,298.3346252441406
8,189,100.98723113333332,395.3025817871094,190,-23.918067932128906,20.866666666666667,950,-0.028538585,0.9884322881698608,0.0007,114,282.68682861328125
8,199,100.15546185106382,414.6244201660156,200,-23.91841697692871,20.70212765957447,1000,-0.9661888,0.9884816408157349,0.0007,115,326.9881896972656
9,209,100.32698839999999,356.983642578125,210,-23.93610191345215,20.76,1050,0.48028666,0.9893563389778137,0.0007,115,241.29588317871094
9,219,101.72480775,98.02066040039062,220,-23.940847396850586,21.0,1100,0.2636022,0.989519476890564,0.0007,116,85.33354949951172
9,229,101.2108738,351.077880859375,230,-23.954090118408203,20.89090909090909,1150,0.48927736,0.9903685450553894,0.0007,116,262.7628173828125
10,239,100.66812784210525,202.6166534423828,240,-23.947521209716797,20.789473684210527,1200,0.50808775,0.9898092746734619,0.0007,116,98.44647216796875
10,249,101.56316349152542,331.21026611328125,250,-23.94512176513672,21.0,1250,0.074476,0.9899022579193115,0.0007,116,228.2266387939453
11,259,101.81094572131146,339.5473327636719,260,-23.944311141967773,21.065573770491802,1300,0.098674655,0.9899767637252808,0.0007,116,225.778076171875
11,269,102.57793485714285,335.4889831542969,270,-23.94111442565918,21.22222222222222,1350,-0.016456485,0.989736020565033,0.0007,117,224.6455078125
11,279,102.39038786363636,380.7522888183594,280,-23.94066619873047,21.181818181818183,1400,-0.19200158,0.9896105527877808,0.0007,117,317.2667541503906
12,289,101.84946336764706,269.3056335449219,290,-23.93328857421875,21.073529411764707,1450,-0.022744656,0.9892393946647644,0.0007,117,165.6553955078125
12,299,102.93775453623189,327.5802917480469,300,-23.940475463867188,21.28985507246377,1500,0.063369095,0.989562451839447,0.0007,117,233.0528564453125
13,309,103.46749515277777,317.73211669921875,310,-23.91781234741211,21.38888888888889,1550,-0.0027644634,0.9882186651229858,0.0007,117,223.63394165039062
13,319,103.21783462162162,308.9196472167969,320,-23.919235229492188,21.324324324324323,1600,-0.10710251,0.9883099794387817,0.0007,117,235.24551391601562
14,329,103.9071755263158,323.6014404296875,330,-23.887065887451172,21.473684210526315,1650,0.08760232,0.9865025877952576,0.0007,117,222.685791015625
14,339,103.91719726582278,497.1808776855469,340,-23.901912689208984,21.49367088607595,1700,0.6225395,0.9874029755592346,0.0007,117,437.44049072265625
14,349,103.0959002682927,305.2787170410156,350,-23.908973693847656,21.329268292682926,1750,-0.015380621,0.9877049922943115,0.0007,117,211.6948699951172
15,359,103.52029830952382,363.6612243652344,360,-23.901540756225586,21.404761904761905,1800,0.108073235,0.9872849583625793,0.0007,116,282.57373046875
15,369,103.32932137209303,324.44049072265625,370,-23.898000717163086,21.38372093023256,1850,0.28518152,0.9870352149009705,0.0007,116,232.9069366455078
16,379,103.00964820224718,456.5093688964844,380,-23.89205551147461,21.314606741573034,1900,-1.2478642,0.9867145419120789,0.0007,116,500.09210205078125
16,389,102.9517626373626,309.9430236816406,390,-23.902050018310547,21.296703296703296,1950,0.05187893,0.9872609376907349,0.0007,116,215.05381774902344
17,399,103.35405173118276,341.9486389160156,400,-23.905588150024414,21.387096774193548,2000,-0.0014806986,0.9877620339393616,0.0007,116,220.79434204101562
17,409,102.97484116666668,338.6129455566406,410,-23.91585350036621,21.3125,2050,0.029848933,0.9885009527206421,0.0007,116,184.8032684326172
18,419,102.48395353061225,327.2186584472656,420,-23.933937072753906,21.214285714285715,2100,0.14980245,0.9892317652702332,0.0007,116,219.1492919921875
18,429,102.29430997000001,307.5695495605469,430,-23.935325622558594,21.17,2150,0.009650826,0.9891877770423889,0.0007,116,212.750244140625
18,439,102.89271996,347.5539245605469,440,-23.93733787536621,21.29,2200,-0.029695392,0.9895293116569519,0.0007,116,234.2176513671875
19,449,102.87394768,-64.6201171875,450,-23.93643569946289,21.3,2250,0.071634054,0.9892740845680237,0.0007,115,43.99304962158203
19,459,103.3287443,434.841552734375,460,-23.93280029296875,21.39,2300,-1.8913817,0.989166796207428,0.0007,115,443.21368408203125
20,469,103.26535820000001,331.7804870605469,470,-23.93390464782715,21.38,2350,0.023977578,0.989369809627533,0.0007,114,217.94680786132812
20,479,103.36447275000002,336.3211364746094,480,-23.932470321655273,21.4,2400,-2.9870243,0.9891406893730164,0.0007,114,339.6435241699219
21,489,103.72670098000002,347.5335388183594,490,-23.928913116455078,21.5,2450,0.04073453,0.9890984892845154,0.0007,113,227.4420623779297
22,499,103.47806596999999,-107.2676773071289,500,-23.905391693115234,21.43,2500,0.15738028,0.9876473546028137,0.0007,111,143.89454650878906
22,509,102.21668794000001,299.9963073730469,510,-23.888328552246094,21.17,2550,-0.0053856373,0.9861434698104858,0.0007,111,237.361328125
23,519,101.96271408000001,350.176025390625,520,-23.901296615600586,21.15,2600,-0.008817315,0.9876251220703125,0.0007,112,219.98681640625
23,529,101.93369795999999,84.20558166503906,530,-23.910734176635742,21.14,2650,0.022357464,0.9877896308898926,0.0007,112,217.1689453125
24,539,102.57385644000001,349.8288879394531,540,-23.913192749023438,21.27,2700,0.0010897517,0.988335132598877,0.0007,112,215.525390625
24,549,101.91556236000001,307.80059814453125,550,-23.904821395874023,21.11,2750,-0.0071742535,0.9874160885810852,0.0007,112,218.4523468017578
24,559,102.26655572000001,-85.82543182373047,560,-23.903167724609375,21.2,2800,-0.00079882145,0.9873247742652893,0.0007,112,241.6482391357422
25,569,103.12815118000002,298.0665588378906,570,-23.90203857421875,21.36,2850,-0.022981763,0.9874666929244995,0.0007,112,173.8341522216797
25,579,104.81179474999999,317.4009704589844,580,-23.90480613708496,21.79,2900,0.0008789301,0.9875933527946472,0.0007,112,213.9063262939453
26,589,105.39630640000001,330.8258361816406,590,-23.901769638061523,21.91,2950,-5.1259995e-05,0.9874698519706726,0.0007,112,214.865478515625
26,599,103.95949678000001,-203.39276123046875,600,-23.90719223022461,21.65,3000,0.0009266138,0.9880062341690063,0.0007,112,278.8942565917969
27,609,103.69863487999999,304.3194274902344,610,-23.91785430908203,21.62,3050,-0.0007377863,0.988241970539093,0.0007,112,214.1680450439453
27,619,104.11657942,362.3129577636719,620,-23.924650192260742,21.71,3100,-0.024093747,0.9886651039123535,0.0007,112,295.3084411621094
28,629,105.23121347,324.5502624511719,630,-23.928136825561523,21.92,3150,-0.00012862682,0.9890375733375549,0.0007,111,213.041748046875
28,639,105.41889917,311.2633361816406,640,-23.940288543701172,21.95,3200,0.007425666,0.9897624850273132,0.0007,111,190.9913787841797
29,649,105.84886154,-290.7544860839844,650,-23.93369483947754,22.05,3250,0.0014730692,0.9891063570976257,0.0007,111,348.607421875
