time/episodes,time/fps,time/total_timesteps,train/critic_loss,train/learning_rate,time/time_elapsed,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates
10,128,182,0.1615302711725235,0.001,1,-6.073375225067139,89.0052642,18.2,81
20,89,329,0.6530519127845764,0.001,3,-9.328547477722168,79.1901901,16.45,228
30,79,514,1.8027796745300293,0.001,6,-12.887463569641113,82.77328500000002,17.133333333333333,413
40,75,675,0.45922696590423584,0.001,8,-16.695762634277344,81.33710779999998,16.875,574
50,74,837,0.41358739137649536,0.001,11,-19.03818130493164,80.61437878,16.74,736
60,73,999,0.4975773096084595,0.001,13,-20.820322036743164,80.12587571666667,16.65,898
70,72,1160,0.5289727449417114,0.001,15,-23.96941375732422,79.71094784285714,16.571428571428573,1059
80,72,1320,0.6181484460830688,0.001,18,-26.101816177368164,79.31442801249999,16.5,1219
90,72,1489,0.6453779339790344,0.001,20,-27.944679260253906,79.60417188888889,16.544444444444444,1388
100,72,1659,1.20137619972229,0.001,23,-30.73392105102539,79.68015285999999,16.59,1558
110,72,1825,0.8526456952095032,0.001,25,-31.49795150756836,78.62683222,16.43,1724
120,71,1989,0.76334547996521,0.001,27,-33.32255172729492,79.44456849,16.6,1888
130,70,2149,0.8886918425559998,0.001,30,-34.815494537353516,78.01933857000002,16.35,2048
140,70,2309,0.35859453678131104,0.001,32,-35.55291748046875,77.88783025,16.34,2208
150,70,2469,0.6462281942367554,0.001,35,-34.68693542480469,77.68352512,16.32,2368
160,70,2629,0.8547725677490234,0.001,37,-36.46758270263672,77.48010488,16.3,2528
170,70,2789,5.758985996246338,0.001,39,-37.552215576171875,77.31749364000001,16.29,2688
180,70,2941,0.9675765633583069,0.001,41,-41.190277099609375,76.84816331,16.21,2840
190,70,3094,0.7442651391029358,0.001,43,-40.5102653503418,75.88480821000002,16.05,2993
200,70,3248,0.6267772316932678,0.001,46,-44.39411926269531,75.12824214,15.89,3147
210,69,3401,1.821531057357788,0.001,48,-42.88998794555664,74.51730004999999,15.76,3300
220,69,3554,3.010946273803711,0.001,50,-42.007904052734375,74.00351491,15.65,3453
230,69,3708,0.7342163324356079,0.001,53,-41.52146911621094,73.71366751,15.59,3607
240,69,3865,2.3262200355529785,0.001,55,-43.41967010498047,73.57548729,15.56,3764
250,69,4018,0.48088380694389343,0.001,58,-44.970436096191406,73.2411185,15.49,3917
260,69,4175,1.1941633224487305,0.001,60,-40.504608154296875,73.0958311,15.46,4074
270,69,4330,0.4442402720451355,0.001,62,-44.77227020263672,72.86590003,15.41,4229
280,69,4484,0.7608596682548523,0.001,64,-40.508697509765625,72.95784200000001,15.43,4383
290,69,4639,1.0580474138259888,0.001,67,-42.424049377441406,73.05903885,15.45,4538
300,68,4795,0.4209047555923462,0.001,69,-42.05076599121094,73.1534412,15.47,4694
310,68,4951,0.7882084846496582,0.001,72,-43.13497543334961,73.29067097000001,15.5,4850
320,68,5103,0.6105535626411438,0.001,74,-40.00621032714844,73.23153332999999,15.49,5002
330,68,5256,0.5890817046165466,0.001,76,-40.722320556640625,73.19202064,15.48,5155
340,68,5412,0.7820010185241699,0.001,78,-39.78675842285156,73.13641720999999,15.47,5311
350,68,5567,0.782806932926178,0.001,81,-39.973419189453125,73.2275906,15.49,5466
360,68,5720,0.4859924614429474,0.001,83,-39.82469940185547,73.03835769999999,15.45,5619
370,68,5874,0.5388168692588806,0.001,85,-38.951881408691406,72.99288818999999,15.44,5773
380,68,6031,4.2623066902160645,0.001,88,-35.56471252441406,73.14446032999999,15.47,5930
390,68,6187,0.5252236723899841,0.001,90,-39.39719772338867,73.1993758,15.48,6086
400,68,6344,0.5069884061813354,0.001,92,-37.142005920410156,73.25300717,15.49,6243
410,68,6501,0.3938969075679779,0.001,95,-38.94814682006836,73.30906682000001,15.5,6400
420,68,6658,0.694041907787323,0.001,97,-38.410675048828125,73.54834955,15.55,6557
430,68,6813,0.4154914915561676,0.001,99,-38.415199279785156,73.64213663,15.57,6712
440,68,6967,0.5056959390640259,0.001,101,-37.26054382324219,73.54550795,15.55,6866
450,68,7123,0.5026739835739136,0.001,104,-37.27525329589844,73.60041057,15.56,7022
460,68,7280,0.5130210518836975,0.001,106,-37.7730712890625,73.7879297,15.6,7179
470,68,7436,0.7052127122879028,0.001,108,-36.68307876586914,73.89046994000002,15.62,7335
480,68,7593,0.4319291412830353,0.001,110,-35.916412353515625,73.88181305,15.62,7492
490,68,7750,0.5209012031555176,0.001,113,-37.7064208984375,73.91318306,15.63,7649
500,68,7906,0.36344653367996216,0.001,115,-35.745277404785156,73.85821815,15.62,7805
510,68,8064,0.3582760989665985,0.001,117,-38.7719841003418,73.904265,15.63,7963
520,68,8220,0.31129735708236694,0.001,120,-37.96042251586914,73.85614197000001,15.62,8119
530,68,8374,0.5378393530845642,0.001,122,-37.377479553222656,73.80660655,15.61,8273
540,68,8528,0.32095789909362793,0.001,124,-36.21002960205078,73.81085845999999,15.61,8427
550,68,8679,0.48008376359939575,0.001,126,-37.478790283203125,73.57045204,15.56,8578
560,68,8833,0.2633817493915558,0.001,128,-39.886138916015625,73.43458202,15.53,8732
570,68,8988,0.5377672910690308,0.001,131,-35.98157501220703,73.37543253999999,15.52,8887
580,68,9140,0.43783047795295715,0.001,133,-36.15547180175781,73.14433237000001,15.47,9039
590,68,9293,0.28561946749687195,0.001,135,-36.30876159667969,72.96700607000001,15.43,9192
600,68,9451,0.459407240152359,0.001,137,-37.40247344970703,73.06234025,15.45,9350
