time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/critic_loss,time/fps,train/n_updates,train/learning_rate
187,1,91.3066267,-6.6883649826049805,10,18.7,0.7097557783126831,142,86,0.001
337,3,81.12767355000001,-10.22258186340332,20,16.85,0.3031195104122162,106,236,0.001
487,5,77.72809253333335,-12.179195404052734,30,16.233333333333334,0.0156928189098835,93,386,0.001
627,7,74.84180649999999,-15.921379089355469,40,15.675,0.5580524206161499,88,526,0.001
776,8,73.96184607999999,-18.232067108154297,50,15.52,0.25868725776672363,86,675,0.001
926,10,73.45504943333334,-20.93425750732422,60,15.433333333333334,0.3553869128227234,85,825,0.001
1074,12,72.96070664285713,-23.761180877685547,70,15.342857142857143,0.24113312363624573,84,973,0.001
1223,14,72.64572032499998,-25.99057388305664,80,15.2875,0.30506643652915955,81,1122,0.001
1373,17,72.44855998888889,-27.634078979492188,90,15.255555555555556,0.28540652990341187,80,1272,0.001
1522,19,72.24521622999998,-30.215160369873047,100,15.22,1.1747539043426514,77,1421,0.001
1671,21,70.15818526,-30.440216064453125,110,14.84,0.3972644805908203,76,1570,0.001
1820,24,70.10937169,-31.924673080444336,120,14.83,0.22054439783096313,75,1719,0.001
1969,26,70.05671456,-32.20816421508789,130,14.82,0.2749553620815277,74,1868,0.001
2117,28,70.43324268,-33.031349182128906,140,14.9,0.6351286768913269,74,2016,0.001
2265,30,70.38616255,-33.4755973815918,150,14.89,0.6254397034645081,73,2164,0.001
2414,32,70.3389357,-32.93035888671875,160,14.88,0.21502846479415894,73,2313,0.001
2562,34,70.33398719,-35.19669723510742,170,14.88,0.3910280466079712,73,2461,0.001
2710,37,70.28284105,-36.06257629394531,180,14.87,1.3304297924041748,73,2609,0.001
2858,39,70.19166156,-36.01593780517578,190,14.85,1.1118478775024414,73,2757,0.001
3006,41,70.14639833,-36.31940460205078,200,14.84,0.20864373445510864,72,2905,0.001
3154,43,70.10353982,-37.03284454345703,210,14.83,0.09617677330970764,71,3053,0.001
3303,46,70.10798716000001,-37.115325927734375,220,14.83,0.21336624026298523,71,3202,0.001
3453,48,70.15393947000001,-36.69609832763672,230,14.84,0.17502497136592865,71,3352,0.001
3601,50,70.15860230000001,-37.81413269042969,240,14.84,0.4241887927055359,71,3500,0.001
3750,52,70.21227455999998,-37.00884246826172,250,14.85,0.22416433691978455,71,3649,0.001
3898,54,70.17231887000001,-36.15972137451172,260,14.84,0.5558788776397705,71,3797,0.001
4046,56,70.17807037,-37.35850524902344,270,14.84,1.5464916229248047,71,3945,0.001
4195,59,70.22458585999999,-39.285743713378906,280,14.85,0.6294461488723755,70,4094,0.001
4343,61,70.22519528,-36.93755340576172,290,14.85,0.2331462949514389,70,4242,0.001
4491,63,70.23173991,-34.071468353271484,300,14.85,0.2681748867034912,70,4390,0.001
4640,66,70.27530929000001,-37.10798263549805,310,14.86,0.23912589251995087,70,4539,0.001
4787,68,70.17253963000002,-37.240509033203125,320,14.84,2.403738498687744,70,4686,0.001
4936,70,70.12753869,-34.640907287597656,330,14.83,0.15700773894786835,69,4835,0.001
5084,72,70.11566583000001,-35.52184295654297,340,14.83,0.3388877809047699,69,4983,0.001
5234,75,70.15706103,-36.516517639160156,350,14.84,0.2535015046596527,69,5133,0.001
